compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
135	P109007011	-145.674	-149.794	-149.262
136	P109007214	-183.905	-188.399	-190.637
137	P109007214	-159.546	-163.428	-163.072
138	P109007214	-191.245	-195.674	-198.509
139	P109007524	-174.714	-176.613	-185.329
140	P109007524	-178.198	-179.136	-189.699
141	P109007524	-185.163	-186.291	-194.189
142	P109008946	-195.161	-204.22	-209.179
143	P109008946	-194.421	-204.51	-208.403
144	P109008946	-194.687	-203.544	-208.675
145	P109011612	-193.701	-200.58	-199.853
146	P109011612	-213.798	-217.528	-222.036
147	P109011612	-209.101	-211.936	-217.269
148	P109011981	-271.345	-273.915	-283.969
149	P109011981	-272.339	-273.138	-283.665
150	P109011981	-264.312	-270.15	-274.696
151	P109018549	-222.828	-222.338	-227.624
152	P109018549	-223.753	-222.377	-228.047
153	P109018549	-226.636	-225.968	-231.474
154	P109018794	-250.369	-264.589	-264.594
155	P109018794	-248.101	-262.449	-263.31
156	P109018794	-252.748	-266.61	-267.883
157	P109049405	-340.207	-351.625	-356.427
158	P109049405	-338.373	-351.875	-354.674
159	P109049405	-339.239	-351.321	-355.873
160	P109615893	-254.913	-266.125	-267.82
161	P109615893	-253.613	-266.126	-268.465
162	P109615893	-254.56	-266.672	-268.574
163	P111214489	-253.837	-266.21	-272.542
164	P111214489	-248.045	-264.517	-269.776
165	P111214489	-275.756	-295.193	-299.66
166	P111223242	-153.015	-149.938	-151.101
167	P111223242	-153.457	-149.554	-150.889
168	P111223242	-153.969	-150.109	-151.246
169	P111278486	-334.865	-357.37	-358.938
170	P111278486	-271.931	-286.057	-286.424
171	P111278486	-292.301	-307.94	-307.519
172	P111922037	-239.232	-241.917	-246.874
173	P111922037	-237.212	-240.984	-246.129
174	P111922037	-232.038	-236.633	-241.61
175	P112142068	-368.516	-382.269	-384.718
176	P112142068	-357.409	-367.806	-378.961
177	P112142068	-339.097	-348.83	-355.463
178	P112221919	-403.157	-422.768	-432.535
179	P112221919	-250.809	-247.734	-249.921
180	P112221919	-364.893	-374.47	-376.327
181	P112429950	-252.1	-261.474	-267.668
182	P112429950	-252.216	-261.179	-266.071
183	P112429950	-251.576	-261.115	-267.818
184	P114849488	-283.179	-290.754	-299.825
185	P114849488	-284.578	-293.645	-302.906
186	P114849488	-284.964	-299.691	-309.047
187	P117550138	-165.893	-171.654	-175.671
188	P117550138	-167.457	-174.207	-178.692
189	P117550138	-166.962	-172.592	-177.066
190	P117557462	-184.571	-191.518	-193.212
191	P117557462	-183.637	-192.018	-194.332
192	P117557462	-185.483	-191.573	-193.732
193	P117594918	-210.638	-211.54	-206.38
194	P117594918	-206.913	-209.768	-205.715
195	P117594918	-184.402	-188.774	-187.176
196	P117751977	-248.622	-249.429	-253.126
197	P117751977	-217.039	-221.427	-218.438
198	P117751977	-290.183	-294.345	-292.748
199	P118224946	-369.841	-389.272	-393.231
200	P118224946	-369.228	-388.977	-394.248
201	P118224946	-368.714	-388.898	-393.857
202	P121825487	-214.712	-241.616	-241.981
203	P121825487	-212.623	-242.462	-241.324
204	P121825487	-213.677	-243.035	-242.011
205	P121991601	-150.004	-154.929	-150.361
206	P121991601	-259.576	-263.104	-267.17
207	P121991601	-148.863	-155.112	-151.716
208	P123254707	-210.974	-203.418	-208.346
209	P123254707	-197.505	-191.632	-194.939
210	P123254707	-209.067	-200.191	-205.908
211	P123387399	-209.144	-221.545	-216.39
212	P123387399	-232.681	-233.42	-240.108
213	P123387399	-231.252	-230.942	-237.164
214	P123387402	-262.904	-266.08	-279.055
215	P123387402	-261.374	-263.853	-277.511
216	P123387402	-263.59	-267.562	-279.552
217	P123406382	-212.837	-207.899	-207.863
218	P123406382	-122.727	-125.323	-126.92
219	P123406382	-213.999	-209.176	-209.914
220	P125443838	-170.908	-173.777	-177.401
221	P125443838	-174.319	-176.333	-180.335
222	P125443838	-175.094	-175.552	-179.879
223	P12618448	-297.906	-303.356	-303.484
224	P12618448	-272.462	-282.568	-290.009
225	P12618448	-278.092	-283.552	-295.886
226	P126500777	-257.664	-275.351	-269.436
227	P126500777	-263.358	-272.429	-277.045
228	P126500777	-262.845	-271.715	-276.522
229	P128031521	-153.445	-159.987	-161.982
230	P128031521	-171.077	-178.368	-179.753
231	P128031521	-190.264	-196.446	-199.3
232	P128795404	-210.784	-230.638	-227.421
233	P128795404	-218.964	-235.435	-237.32
234	P128795404	-210.421	-228.466	-225.727
235	P128856802	-280.139	-296.335	-298.93
236	P128856802	-280.705	-297.799	-300.044
237	P128856802	-191.738	-201.831	-202.964
238	P128880369	-220.392	-226.165	-228.159
239	P128880369	-231.588	-243.946	-237.153
240	P128880369	-231.874	-244.681	-237.288
241	P128938770	-142.168	-146.378	-142.97
242	P128938770	-140.895	-145.383	-141.757
243	P128938770	-138.922	-145.05	-139.934
244	P128996790	-223.935	-227.463	-233.48
245	P128996790	-212.455	-219.418	-221.103
246	P128996790	-228.822	-237.83	-243.825
247	P129010386	-168.867	-173.176	-168.962
248	P129010386	-169.974	-173.82	-170.485
249	P129010386	-210.725	-217.163	-212.585
250	P129020650	-236.855	-238.831	-239.719
251	P129020650	-255.231	-265.464	-269.765
252	P129020650	-257.398	-264.177	-269.887
253	P129061958	-202.075	-209.619	-210.803
254	P129061958	-247.441	-264.956	-261.385
255	P129061958	-247.888	-265.438	-261.8
256	P129144928	-160.358	-165.658	-169.739
257	P129144928	-268.452	-278.574	-281.742
258	P129144928	-266.984	-277.564	-279.46
259	P129488019	-218.117	-225.687	-232.964
260	P129488019	-260.677	-277.467	-271.153
261	P129488019	-211.705	-212.958	-222.208
262	P129531989	-331.413	-352.378	-352.301
263	P129531989	-319.765	-342.704	-344.653
264	P129531989	-275.656	-281.365	-292.856
265	P129629388	-196.757	-206.441	-204.641
266	P129629388	-198.237	-205.69	-200.373
267	P129629388	-198.262	-209.789	-207.1
268	P129681270	-199.658	-211.846	-213.008
269	P129681270	-196.211	-207.172	-208.782
270	P129681270	-184.749	-196.651	-199.275
271	P129681588	-203.678	-203.339	-207.672
272	P129681588	-203.885	-203.363	-207.512
