compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
138	P06168530	-232.787	-239.052	-246.718
139	P06219489	-356.039	-365.886	-369.545
140	P06219489	-350.09	-366.088	-369.958
141	P06219489	-336.287	-347.358	-350.634
142	P06282721	-276.946	-284.065	-291.803
143	P06282721	-282.616	-271.072	-287.09
144	P06282721	-284.717	-299.179	-304.96
145	P06413841	-188.072	-199.044	-202.345
146	P06413841	-189.024	-200.153	-198.69
147	P06413841	-187.225	-196.407	-199.654
148	P06666378	-332.224	-347.011	-358.775
149	P06666378	-332.61	-340.968	-356.872
150	P06666378	-330.056	-339.177	-354.098
151	P06702309	-207.484	-217.437	-216.56
152	P06702309	-210.064	-221.613	-222.5
153	P06702309	-207.679	-216.915	-216.535
154	P06768307	-261.447	-268.478	-279.478
155	P06768307	-284.026	-288.291	-291.569
156	P06768307	-261.172	-266.952	-277.668
157	P06771401	-195.284	-202.497	-207.041
158	P06771401	-199.063	-208.845	-210.457
159	P06771401	-174.561	-181.617	-185.009
160	P07136692	-269.522	-281.757	-289.481
161	P07136692	-269.816	-280.256	-288.391
162	P07136692	-269.304	-285.866	-293.834
163	P07138396	-231.505	-232.07	-236.731
164	P07138396	-218.654	-218.781	-227.892
165	P07138396	-220.147	-220.707	-229.43
166	P07174041	-249.372	-264.149	-272.794
167	P07174041	-252.065	-263.637	-269.935
168	P07174041	-271.101	-282.49	-292.216
169	P07569050	-202.681	-203.146	-214.187
170	P07569050	-184.013	-184.869	-195.645
171	P07569050	-183.334	-182.919	-195.303
172	P07583861	-267.596	-279.305	-286.517
173	P07583861	-290.956	-298.15	-308.127
174	P07583861	-265.508	-269.811	-275.225
175	P07715533	-212.8	-215.385	-223.18
176	P07715533	-199.44	-208.198	-215.357
177	P07715533	-200.645	-208.704	-215.057
178	P07782977	-379.119	-375.742	-384.137
179	P07782977	-387.273	-403.034	-417.464
180	P07782977	-398.72	-410.524	-425.774
181	P07839198	-212.355	-216.223	-226.446
182	P07839198	-213.538	-225.289	-225.847
183	P07839198	-210.928	-215.987	-219.3
184	P08011852	-312.025	-324.186	-333.147
185	P08011852	-332.834	-346.615	-346.307
186	P08011852	-321.155	-333.449	-338.968
187	P08011872	-303.84	-313.453	-328.388
188	P08011872	-330.596	-347.773	-353.566
189	P08011872	-315.014	-324.113	-337.267
190	P08103884	-301.588	-307.359	-311.209
191	P08103884	-298.797	-308.224	-313.725
192	P08103884	-270.451	-274.256	-276.038
193	P08179997	-198.752	-206.151	-208.77
194	P08179997	-198.133	-206.689	-209.581
195	P08179997	-197.917	-205.213	-207.262
196	P08182707	-223.957	-231.874	-242.52
197	P08182707	-223.062	-230.765	-240.543
198	P08182707	-203.028	-213.559	-213.4
199	P08192944	-194.685	-202.619	-208.301
200	P08192944	-197.31	-205.666	-214.566
201	P08192944	-196.669	-202.005	-210.88
202	P08287941	-217.4	-218.715	-223.909
203	P08287941	-242.671	-254.335	-259.07
204	P08287941	-180.742	-187.757	-189.829
205	P08904802	-312.321	-318.085	-331.441
206	P08904802	-310.953	-311.723	-332.323
207	P08904802	-309.659	-314.14	-321.74
208	P08977643	-192.548	-204.562	-209.384
209	P08977643	-168.944	-172.535	-172.13
210	P08977643	-186.115	-191.668	-193.602
211	P09338548	-56.993	-51.604	-59.866
212	P09338548	-76.911	-85.003	-94.571
213	P09338548	-53.645	-49.287	-57.352
214	P09461762	-210.687	-224.639	-228.519
215	P09461762	-204.809	-215.548	-222.465
216	P09461762	-197.882	-201.077	-205.257
217	P09524617	-313.85	-313.577	-329.682
218	P09524617	-315.192	-316.596	-330.121
219	P09524617	-309.736	-310.82	-324.341
220	P09781598	-141.256	-148.229	-155.099
221	P09781598	-141.485	-145.149	-155.782
222	P09781598	-141.54	-145.863	-156.432
223	P09845720	-266.973	-274.475	-281.322
224	P09845720	-266.114	-267.656	-276.585
225	P09845720	-281.36	-283.674	-293.074
226	P100636508	-258.612	-263.222	-274.112
227	P100636508	-240.668	-251.63	-251.333
228	P100636508	-262.792	-277.162	-280.626
229	P100669881	-174.008	-171.069	-176.22
230	P100669881	-186.48	-192.762	-199.141
231	P100669881	-161.206	-162.898	-169.31
232	P101126751	-367.486	-361.606	-371.689
233	P101126751	-369.724	-376.772	-381.186
234	P101126751	-379.644	-386.44	-396.072
235	P101126773	-247.802	-263.446	-264.215
236	P101126773	-237.486	-244.484	-243.962
237	P101126773	-229.249	-240.842	-240.765
238	P101151117	-200.34	-206.577	-213.115
239	P101151117	-212.551	-213.1	-217.51
240	P101151117	-201.975	-203.522	-208.621
241	P101151122	-217.18	-227.664	-225.707
242	P101151122	-222.814	-233.252	-232.781
243	P101151122	-219.754	-231.112	-230.139
244	P101915148	-307.562	-316.033	-327.289
245	P101915148	-306.2	-305.133	-314.143
246	P101915148	-298.98	-305.23	-313.158
247	P10241372	-101.583	-112.758	-112.027
248	P10241372	-88.317	-89.254	-93.648
249	P10241372	-86.457	-89.053	-91.201
250	P10368605	130.291	128.194	121.631
251	P10368605	112.373	109.739	105.376
252	P10368605	132.684	116.559	117.234
