compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
49	P07497363	-331.95	-352.368	-351.036	56.89	175.71	P07497363	-56.9232	-5	adenine	4XNR
50	P07497363	-333.095	-353.196	-351.623	73.32	193.15	P07497363	-56.9038	-5	adenine	4XNR
51	P07497363	-332.139	-353.476	-351.102	61.27	180.46	P07497363	-56.8417	-5	adenine	4XNR
52	P08390249	-299.139	-304.564	-313.092	414.76	569.18	P08390249	-51.3699	-5	adenine	4XNR
53	P08390249	-289.728	-295.534	-301.446	396.45	545.21	P08390249	-50.592	-5	adenine	4XNR
54	P08390249	-286.416	-293.71	-299.685	410.34	553.9	P08390249	-49.63	-5	adenine	4XNR
55	P09082078	-202.311	-208.697	-210.386	-326.58	-210.93	P09082078	-39.5737	-5	adenine	4XNR
56	P09082078	-203.273	-208.935	-210.641	-326.58	-210.93	P09082078	-39.4867	-5	adenine	4XNR
57	P09082078	-202.13	-208.259	-209.593	-349.86	-233.96	P09082078	-39.421	-5	adenine	4XNR
58	P09577449	-160.548	-160.437	-165.173	-1335.81	-1354.44	P09577449	-53.2365	-5	adenine	4XNR
59	P09577449	-157.08	-163.899	-165.404	-2036.21	-2059.31	P09577449	-53.0052	-5	adenine	4XNR
60	P09577449	-129.331	-130.139	-139.215	-967.08	-996.97	P09577449	-52.0363	-5	adenine	4XNR
61	P101123070	-263.015	-276.404	-277.755	-2086.2	-2096.68	P101123070	-47.2025	-5	adenine	4XNR
62	P101123070	-264.46	-278.793	-280.701	-2086.2	-2096.68	P101123070	-47.1482	-5	adenine	4XNR
63	P101123070	-262.466	-278.405	-277.962	-2071.62	-2080.94	P101123070	-46.7771	-5	adenine	4XNR
64	P101128085	-219.904	-228.561	-228.83	-929.76	-892.8	P101128085	-55.1661	-6	adenine	4XNR
65	P101128085	-248.159	-255.222	-259.206	-725.09	-701.48	P101128085	-52.954	-6	adenine	4XNR
66	P101128085	-242.813	-249.291	-249.654	-817.8	-783.36	P101128085	-52.7634	-6	adenine	4XNR
67	P105879035	-254.855	-257.679	-256.236	-1025.84	-969.05	P105879035	-39.7259	-5	adenine	4XNR
68	P105879035	-255.706	-258.482	-256.75	-999.28	-944.98	P105879035	-39.3957	-5	adenine	4XNR
69	P105879035	-256.067	-258.153	-256.903	-1029.97	-974.27	P105879035	-38.7641	-5	adenine	4XNR
70	P107007207	-192.426	-195.836	-201.055	-315.8	-292.87	P107007207	-33.9062	-5	adenine	4XNR
71	P107007207	-187.496	-187.585	-191.324	-278.58	-256.82	P107007207	-33.7203	-5	adenine	4XNR
72	P107007207	-184.012	-185.103	-192.259	-169.7	-148.92	P107007207	-33.4759	-5	adenine	4XNR
73	P107007208	-207.834	-215.039	-216.495	19.3	50.64	P107007208	-30.3572	-5	adenine	4XNR
74	P107007208	-203.774	-204.175	-209.584	27.26	55.45	P107007208	-28.172	-5	adenine	4XNR
75	P107007208	-181.36	-186.237	-184.309	-424.81	-441.39	P107007208	-27.2165	-5	adenine	4XNR
76	P107221164	-109.222	-115.219	-117.309	15.28	0.44	P107221164	-50.6836	-6	adenine	4XNR
77	P107221164	-108.375	-115.166	-117.244	46.33	31.09	P107221164	-48.4819	-6	adenine	4XNR
78	P107221164	-111.206	-117.026	-117.349	46.25	27.03	P107221164	-45.6767	-6	adenine	4XNR
79	P107223365	-279.586	-277.235	-283.526	-791.54	-725.02	P107223365	-46.629	-6	adenine	4XNR
80	P107223365	-280.84	-277.208	-284.079	-775.98	-711.23	P107223365	-46.0178	-6	adenine	4XNR
81	P107223365	-292.309	-302.627	-307.803	-649.25	-569.3	P107223365	-45.2289	-6	adenine	4XNR
82	P107232038	-221.592	-230.798	-230.946	-1054.9	-1037.43	P107232038	-52.5624	-6	adenine	4XNR
83	P107232038	-219.05	-229.405	-233.317	-1003.09	-988.38	P107232038	-52.2549	-6	adenine	4XNR
84	P107232038	-220.229	-228.777	-229.064	-1064.6	-1048.11	P107232038	-51.7118	-5	adenine	4XNR
85	P107375654	-220.752	-235.715	-235.695	-670.08	-672.0	P107375654	-49.8082	-5	adenine	4XNR
86	P107375654	-212.085	-226.626	-226.222	-695.1	-695.87	P107375654	-48.3305	-5	adenine	4XNR
87	P107375654	-214.183	-228.237	-228.349	-699.45	-700.16	P107375654	-48.2559	-5	adenine	4XNR
88	P107405414	-239.656	-243.256	-247.43	-765.31	-762.66	P107405414	-46.8729	-5	adenine	4XNR
89	P107405414	-240.57	-245.378	-253.35	-211.5	-160.9	P107405414	-44.4968	-5	adenine	4XNR
90	P107405414	-232.968	-233.669	-239.061	-168.87	-119.89	P107405414	-43.2043	-5	adenine	4XNR
91	P107707251	-207.613	-208.077	-210.278	-247.83	-131.14	P107707251	-51.9767	-5	adenine	4XNR
92	P107707251	-203.607	-196.277	-208.274	-358.49	-241.65	P107707251	-51.8581	-5	adenine	4XNR
93	P107707251	-204.87	-197.12	-210.211	-351.84	-234.2	P107707251	-51.7049	-5	adenine	4XNR
94	P107730030	-283.297	-283.817	-296.895	-867.26	-786.62	P107730030	-35.7257	-6	adenine	4XNR
95	P107730030	-282.233	-284.243	-296.424	-857.89	-779.08	P107730030	-33.7585	-6	adenine	4XNR
96	P107730030	-282.522	-282.95	-296.341	-841.4	-760.84	P107730030	-33.5754	-6	adenine	4XNR
97	P107730079	-149.674	-158.34	-155.58	-98.28	-95.21	P107730079	-34.634	-5	adenine	4XNR
98	P107730079	-143.901	-151.034	-149.576	354.53	305.12	P107730079	-31.941	-5	adenine	4XNR
99	P107730079	-170.233	-176.591	-173.323	-209.82	-206.6	P107730079	-31.4902	-5	adenine	4XNR
100	P107841297	-191.85	-196.316	-202.499	-1085.69	-1004.02	P107841297	-44.3856	-6	adenine	4XNR
101	P107841297	-191.545	-196.81	-204.041	-1135.07	-1050.44	P107841297	-43.5257	-6	adenine	4XNR
102	P107841297	-191.502	-196.575	-204.262	-1135.07	-1050.44	P107841297	-43.5146	-6	adenine	4XNR
103	P107917471	-265.226	-285.844	-285.843	-693.12	-601.55	P107917471	-59.0559	-5	adenine	4XNR
104	P107917471	-267.98	-286.955	-287.106	-702.77	-608.45	P107917471	-58.0486	-5	adenine	4XNR
105	P107917471	-265.472	-286.349	-285.976	-701.39	-607.07	P107917471	-57.7074	-5	adenine	4XNR
106	P107919697	-246.202	-248.875	-258.637	-2122.96	-2149.1	P107919697	-62.6816	-6	adenine	4XNR
107	P107919697	-243.608	-244.999	-253.124	-2157.21	-2182.61	P107919697	-62.4728	-5	adenine	4XNR
108	P107919697	-246.569	-248.044	-255.876	-2110.57	-2138.13	P107919697	-61.5688	-6	adenine	4XNR
109	P107971104	-232.384	-249.566	-250.909	-910.54	-854.15	P107971104	-58.2108	-6	adenine	4XNR
110	P107971104	-233.014	-240.786	-246.562	-935.07	-884.06	P107971104	-57.5221	-5	adenine	4XNR
111	P107971104	-242.098	-248.726	-253.004	-851.83	-797.03	P107971104	-57.0537	-5	adenine	4XNR
112	P107971175	-139.974	-143.807	-142.425	-725.15	-721.0	P107971175	-43.1324	-5	adenine	4XNR
113	P107971175	-265.864	-276.064	-284.635	-1150.46	-1068.25	P107971175	-41.6764	-5	adenine	4XNR
114	P107971175	-245.496	-257.727	-265.389	-1071.52	-1001.23	P107971175	-41.6719	-6	adenine	4XNR
115	P108001464	-259.715	-265.295	-271.688	-4183.66	-4084.87	P108001464	-58.8176	-6	adenine	4XNR
116	P108001464	-259.819	-265.513	-271.49	-4202.84	-4109.01	P108001464	-57.9729	-6	adenine	4XNR
117	P108001464	-259.776	-264.47	-270.741	-4239.91	-4145.23	P108001464	-57.3245	-6	adenine	4XNR
118	P108184382	-188.421	-190.3	-191.837	-823.93	-749.07	P108184382	-44.0858	-5	adenine	4XNR
119	P108184382	-187.015	-190.623	-192.722	-834.18	-759.72	P108184382	-43.8768	-5	adenine	4XNR
120	P108184382	-187.508	-189.278	-191.581	-829.15	-753.35	P108184382	-40.4892	-5	adenine	4XNR
121	P108871030	-154.874	-159.093	-160.323	-1035.69	-990.39	P108871030	-40.7384	-5	adenine	4XNR
122	P108871030	-154.618	-157.627	-160.368	-1019.06	-976.15	P108871030	-40.7196	-5	adenine	4XNR
123	P108871030	-155.144	-158.273	-159.83	-1035.69	-990.39	P108871030	-40.6799	-5	adenine	4XNR
124	P108902482	-267.128	-273.559	-284.063	-1433.34	-1477.33	P108902482	-52.1142	-6	adenine	4XNR
125	P108902482	-280.433	-289.193	-302.594	-1360.99	-1419.28	P108902482	-51.281	-5	adenine	4XNR
126	P108902482	-238.567	-248.216	-251.733	-1097.24	-1138.32	P108902482	-51.088	-5	adenine	4XNR
127	P108990635	-181.491	-188.839	-186.246	-1097.78	-1050.42	P108990635	-48.6379	-6	adenine	4XNR
128	P108990635	-181.075	-190.028	-186.488	-1079.02	-1033.23	P108990635	-48.4469	-6	adenine	4XNR
129	P108990635	-182.157	-191.5	-186.089	-1063.2	-1016.43	P108990635	-47.556	-6	adenine	4XNR
130	P109006999	-236.418	-253.335	-260.255	-1675.21	-1702.74	P109006999	-56.2447	-5	adenine	4XNR
131	P109006999	-185.584	-190.841	-192.356	-1129.29	-1153.46	P109006999	-54.5078	-5	adenine	4XNR
132	P109006999	-179.316	-185.544	-181.789	-1050.31	-1075.49	P109006999	-54.1408	-5	adenine	4XNR
133	P109007011	-211.142	-224.822	-223.286	-1030.37	-1049.32	P109007011	-55.7979	-5	adenine	4XNR
134	P109007011	-187.451	-195.515	-199.685	-1145.16	-1155.93	P109007011	-54.8452	-6	adenine	4XNR
135	P109007011	-193.042	-200.124	-202.122	-1062.92	-1074.1	P109007011	-54.1589	-6	adenine	4XNR
136	P109007214	-251.996	-265.781	-261.567	-1853.82	-1933.02	P109007214	-57.5184	-5	adenine	4XNR
137	P109007214	-254.358	-263.078	-263.795	-1732.77	-1766.28	P109007214	-56.2081	-5	adenine	4XNR
138	P109007214	-253.047	-266.67	-262.516	-1876.49	-1952.64	P109007214	-54.4007	-5	adenine	4XNR
139	P109007524	-167.928	-175.107	-173.543	-410.13	-441.76	P109007524	-49.4553	-5	adenine	4XNR
140	P109007524	-164.567	-163.161	-164.671	-427.67	-454.02	P109007524	-48.2224	-5	adenine	4XNR
141	P109007524	-175.354	-173.399	-179.28	-1074.42	-1101.64	P109007524	-47.3946	-5	adenine	4XNR
142	P109008946	-193.088	-201.582	-209.369	-1624.37	-1628.43	P109008946	-50.2268	-6	adenine	4XNR
143	P109008946	-192.875	-202.564	-209.931	-1624.37	-1628.43	P109008946	-50.1544	-6	adenine	4XNR
144	P109008946	-193.754	-202.871	-210.653	-1624.37	-1628.43	P109008946	-50.1396	-6	adenine	4XNR
145	P109011612	-214.062	-224.204	-229.988	-1047.44	-997.33	P109011612	-53.2354	-6	adenine	4XNR
146	P109011612	-216.094	-224.799	-234.612	-737.19	-692.7	P109011612	-52.7193	-6	adenine	4XNR
147	P109011612	-211.409	-222.628	-227.224	-1003.69	-955.13	P109011612	-52.7023	-6	adenine	4XNR
148	P109011981	-272.053	-273.445	-281.336	-1774.3	-1815.11	P109011981	-57.0963	-6	adenine	4XNR
149	P109011981	-308.951	-325.218	-330.724	-1785.91	-1851.28	P109011981	-56.6106	-6	adenine	4XNR
150	P109011981	-278.65	-291.163	-291.61	-1360.79	-1409.99	P109011981	-55.0518	-6	adenine	4XNR
151	P109018549	-222.866	-220.044	-226.411	-915.49	-900.1	P109018549	-45.9336	-6	adenine	4XNR
152	P109018549	-223.865	-223.769	-228.101	-915.49	-900.1	P109018549	-45.4393	-6	adenine	4XNR
153	P109018549	-224.129	-224.905	-228.377	-901.52	-887.66	P109018549	-44.7647	-6	adenine	4XNR
154	P109018794	-171.369	-173.537	-172.09	-667.5	-713.79	P109018794	-44.0119	-5	adenine	4XNR
155	P109018794	-236.694	-239.198	-241.493	-1201.46	-1208.42	P109018794	-43.7062	-6	adenine	4XNR
156	P109018794	-241.088	-242.909	-245.37	-1171.96	-1188.86	P109018794	-43.4579	-6	adenine	4XNR
157	P109049405	-333.574	-344.568	-354.5	-4934.3	-4898.72	P109049405	-58.804	-6	adenine	4XNR
158	P109049405	-347.925	-369.864	-371.602	-5226.68	-5204.13	P109049405	-57.5639	-6	adenine	4XNR
159	P109049405	-346.198	-368.588	-369.73	-5224.32	-5201.56	P109049405	-57.5545	-6	adenine	4XNR
160	P109615893	-254.907	-272.709	-273.005	-552.96	-466.81	P109615893	-51.9843	-6	adenine	4XNR
161	P109615893	-253.224	-271.106	-271.293	-566.98	-479.84	P109615893	-51.7768	-6	adenine	4XNR
162	P109615893	-254.932	-271.846	-272.378	-574.08	-484.55	P109615893	-51.454	-6	adenine	4XNR
163	P111214489	-224.843	-235.862	-238.927	-2070.5	-2013.25	P111214489	-58.6013	-5	adenine	4XNR
164	P111214489	-238.117	-237.575	-243.471	-3114.45	-3070.56	P111214489	-57.8821	-5	adenine	4XNR
165	P111214489	-238.141	-234.255	-241.289	-2965.54	-2917.24	P111214489	-56.3992	-6	adenine	4XNR
