compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
135	P08509442	-258.675	-267.77	-269.321
136	P08543123	-276.914	-283.451	-293.565
137	P08543123	-172.691	-168.619	-170.538
138	P08543123	-161.091	-161.121	-163.738
139	P08565280	-285.743	-300.124	-306.521
140	P08565280	-288.49	-301.416	-309.08
141	P08565280	-284.556	-297.834	-303.607
142	P08648168	-370.678	-402.126	-408.316
143	P08648168	-364.989	-397.186	-402.016
144	P08648168	-369.103	-401.188	-406.384
145	P08736860	-78.656	-81.022	-82.507
146	P08736860	-91.48	-89.9	-90.136
147	P08736860	-79.998	-79.945	-81.534
148	P08806353	-214.922	-226.431	-231.113
149	P08806353	-215.762	-227.239	-233.698
150	P08806353	-216.689	-228.002	-233.844
151	P08807601	-180.207	-185.735	-185.904
152	P08807601	-167.772	-175.504	-173.048
153	P08807601	-168.787	-175.393	-173.334
154	P09106717	-192.915	-194.78	-194.573
155	P09106717	-193.477	-198.7	-198.054
156	P09106717	-194.961	-199.124	-199.329
157	P09669162	-227.687	-224.145	-225.998
158	P09669162	-182.061	-175.178	-181.405
159	P09669162	-254.518	-262.267	-265.387
160	P09891088	-138.717	-137.841	-139.347
161	P09891088	-123.452	-117.187	-122.06
162	P09891088	-122.588	-117.673	-122.302
163	P101149041	-164.848	-167.569	-166.666
164	P101149041	-165.217	-165.415	-163.75
165	P101149041	-167.387	-167.004	-163.241
166	P10145198	-339.597	-340.347	-359.095
167	P10145198	-334.897	-358.628	-354.93
168	P10145198	-338.48	-338.488	-358.264
169	P101623589	-331.551	-345.946	-349.63
170	P101623589	-330.173	-343.77	-347.751
171	P101623589	-328.328	-341.932	-346.147
172	P101756367	-256.73	-263.688	-262.543
173	P101756367	-258.716	-264.153	-263.877
174	P101756367	-256.105	-261.478	-266.781
175	P101968359	-213.076	-212.573	-227.322
176	P101968359	-210.527	-199.824	-218.98
177	P101968359	-212.74	-216.526	-230.733
178	P102003146	-229.231	-227.882	-230.676
179	P102003146	-211.229	-220.358	-219.988
180	P102003146	-228.114	-242.537	-243.219
181	P102016704	-201.785	-202.994	-208.303
182	P102016704	-195.442	-194.864	-203.983
183	P102016704	-191.632	-189.118	-197.64
184	P105265063	-278.192	-290.747	-294.834
185	P105265063	-250.356	-264.236	-270.321
186	P105265063	-273.274	-286.378	-294.593
187	P106135150	-257.291	-265.624	-273.604
188	P106135150	-293.465	-306.943	-312.095
189	P106135150	-237.792	-239.365	-242.907
190	P10674555	-96.038	-96.403	-94.755
191	P10674555	-131.281	-131.615	-132.479
192	P10674555	-178.712	-185.627	-182.8
193	P107050635	-195.259	-193.474	-207.133
194	P107050635	-249.408	-253.698	-253.625
195	P107050635	-252.678	-256.931	-259.616
196	P107204890	-252.361	-261.766	-265.101
197	P107204890	-218.352	-214.627	-224.49
198	P107204890	-228.42	-229.353	-232.638
199	P107204897	-226.313	-227.326	-234.65
200	P107204897	-235.346	-246.765	-250.286
201	P107204897	-244.671	-248.169	-245.853
202	P107221164	-117.955	-121.924	-119.439
203	P107221164	-116.629	-120.424	-118.966
204	P107221164	-118.016	-119.997	-122.2
205	P107223300	-263.476	-272.387	-278.502
206	P107223300	-263.574	-270.109	-277.458
207	P107223300	-251.363	-252.452	-243.051
208	P107223394	-159.727	-158.508	-158.301
209	P107223394	-266.421	-275.959	-273.622
210	P107223394	-265.973	-277.065	-272.758
211	P107223398	-158.371	-161.596	-154.41
212	P107223398	-271.529	-285.372	-287.917
213	P107223398	-154.0	-157.503	-154.369
214	P107413871	-272.409	-296.076	-296.692
215	P107413871	-266.209	-291.362	-293.321
216	P107413871	-182.646	-182.135	-186.421
217	P107706437	-191.945	-201.951	-204.654
218	P107706437	-174.72	-185.541	-189.842
219	P107706437	-189.403	-191.697	-188.607
220	P107795502	-200.257	-210.794	-210.029
221	P107795502	-199.459	-210.416	-209.704
222	P107795502	-199.388	-210.459	-209.589
223	P107841303	-185.041	-189.425	-198.422
224	P107841303	-187.537	-190.672	-197.977
225	P107841303	-187.625	-191.202	-198.906
226	P107853054	-227.824	-244.151	-245.91
227	P107853054	-227.653	-244.381	-246.769
228	P107853054	-227.346	-244.258	-246.478
229	P107866678	-225.702	-232.364	-232.488
230	P107866678	-222.953	-228.014	-228.959
231	P107866678	-248.693	-268.844	-268.517
232	P107914163	-205.2	-200.455	-202.088
233	P107914163	-205.445	-200.692	-202.745
234	P107914163	-206.204	-201.864	-201.772
235	P107919640	-209.467	-216.359	-218.663
236	P107919640	-206.844	-215.97	-218.246
237	P107919640	-229.187	-241.248	-246.368
238	P107970135	-193.779	-199.35	-204.047
239	P107970135	-191.314	-196.714	-201.56
240	P107970135	-192.47	-198.379	-205.038
241	P107970260	-234.25	-232.948	-242.032
242	P107970260	-231.452	-229.674	-239.802
243	P107970260	-268.004	-279.661	-284.487
244	P107971029	-234.045	-240.869	-244.962
245	P107971029	-236.724	-242.92	-249.612
246	P107971029	-232.787	-238.11	-245.177
247	P107971162	-263.721	-278.317	-281.625
248	P107971162	-264.783	-280.086	-282.815
249	P107971162	-265.956	-281.683	-284.182
250	P108127470	-188.939	-204.296	-207.002
251	P108127470	-190.139	-205.695	-207.405
252	P108127470	-187.351	-201.302	-204.773
253	P108127522	-235.271	-256.266	-254.412
254	P108127522	-237.115	-258.032	-254.2
