compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
142	P09472188	-271.517	-285.798	-288.338
143	P09472188	-272.644	-286.687	-288.37
144	P09472188	-264.95	-271.352	-267.831
145	P09473480	-274.301	-300.691	-300.712
146	P09473480	-257.534	-273.643	-276.704
147	P09473480	-270.11	-286.893	-290.777
148	P09507310	-286.552	-302.021	-299.138
149	P09507310	-278.945	-286.24	-285.864
150	P09507310	-262.031	-284.638	-280.671
151	P09530964	-321.6	-321.543	-330.44
152	P09530964	-337.847	-346.017	-346.973
153	P09530964	-315.261	-312.674	-325.892
154	P09575044	-293.547	-306.802	-312.51
155	P09575044	-281.642	-278.778	-280.795
156	P09575044	-294.039	-308.926	-312.644
157	P09593862	-235.358	-234.644	-240.073
158	P09593862	-236.125	-233.882	-243.778
159	P09593862	-238.138	-238.318	-243.989
160	P09621644	-231.526	-246.954	-245.732
161	P09621644	-229.695	-248.788	-244.498
162	P09621644	-241.006	-259.379	-252.995
163	P09657949	-259.946	-271.359	-274.323
164	P09657949	-260.767	-272.549	-275.108
165	P09657949	-277.795	-296.982	-301.579
166	P09658041	-246.442	-256.297	-261.609
167	P09658041	-256.218	-266.679	-269.724
168	P09658041	-259.916	-270.82	-272.013
169	P09736107	-264.392	-288.113	-281.498
170	P09736107	-239.91	-248.421	-254.571
171	P09736107	-275.821	-290.57	-290.465
172	P09893684	-271.375	-273.095	-280.22
173	P09893684	-267.467	-271.993	-281.35
174	P09893684	-294.374	-300.557	-304.854
175	P09964906	-271.744	-287.484	-293.837
176	P09964906	-279.642	-290.681	-298.957
177	P09964906	-291.684	-304.927	-314.933
178	P10016483	-294.17	-315.54	-317.352
179	P10016483	-321.791	-340.811	-346.9
180	P10016483	-301.288	-318.381	-328.867
181	P100408260	-221.325	-236.858	-230.032
182	P100408260	-222.396	-236.716	-234.453
183	P100408260	-218.837	-242.776	-245.154
184	P10041333	-247.89	-256.216	-257.844
185	P10041333	-300.075	-313.032	-312.81
186	P10041333	-313.345	-327.252	-321.463
187	P100471755	-310.093	-334.293	-338.407
188	P100471755	-314.006	-333.62	-338.871
189	P100471755	-270.233	-298.549	-285.204
190	P100730401	-257.712	-278.161	-283.851
191	P100730401	-259.676	-282.007	-283.498
192	P100730401	-262.991	-288.542	-281.718
193	P100904886	-242.61	-252.124	-254.75
194	P100904886	-224.738	-232.42	-240.617
195	P100904886	-266.102	-284.578	-282.159
196	P10167152	-224.092	-228.225	-232.913
197	P10167152	-216.924	-223.545	-230.434
198	P10167152	-216.1	-224.333	-231.123
199	P10192443	-283.79	-295.709	-314.233
200	P10192443	-266.628	-279.523	-288.052
201	P10192443	-287.113	-298.074	-302.967
202	P10217508	-211.846	-217.561	-222.458
203	P10217508	-202.994	-215.152	-220.632
204	P10217508	-205.218	-211.205	-218.731
205	P102454077	-265.62	-292.17	-296.874
206	P102454077	-261.639	-278.097	-278.222
207	P102454077	-255.163	-269.766	-271.032
208	P10246488	-342.037	-343.989	-351.754
209	P10246488	-344.488	-347.299	-356.079
210	P10246488	-346.559	-349.079	-359.858
211	P10283076	-254.786	-261.915	-267.71
212	P10283076	-251.403	-263.842	-269.168
213	P10283076	-255.7	-267.089	-272.103
214	P102910173	-178.508	-172.712	-183.614
215	P102910173	-178.139	-173.323	-183.72
216	P102910173	-194.57	-196.857	-203.096
217	P103049697	-186.508	-193.428	-199.907
218	P103049697	-199.247	-212.572	-221.237
219	P103049697	-197.683	-212.016	-213.397
220	P103381935	-250.013	-267.649	-262.319
221	P103381935	-256.577	-277.683	-276.317
222	P103381935	-249.092	-264.882	-263.718
223	P103725505	-219.57	-223.921	-223.979
224	P103725505	-221.895	-225.798	-225.851
225	P103725505	-220.565	-227.309	-223.775
226	P104005248	-348.627	-356.705	-374.798
227	P104005248	-348.248	-354.586	-367.727
228	P104005248	-381.968	-407.278	-418.636
229	P104005257	-367.913	-381.437	-394.563
230	P104005257	-399.944	-426.224	-433.673
231	P104005257	-354.39	-366.411	-377.21
232	P104005261	-409.318	-417.024	-432.511
233	P104005261	-392.232	-412.614	-424.005
234	P104005261	-417.013	-435.577	-452.431
235	P10406462	-146.729	-160.773	-162.607
236	P10406462	-147.18	-159.811	-163.784
237	P10406462	-149.219	-161.78	-161.996
238	P104151278	-291.45	-319.046	-317.68
239	P104151278	-289.112	-312.922	-311.999
240	P104151278	-289.717	-312.161	-308.718
241	P104246290	-238.487	-265.615	-263.175
242	P104246290	-237.443	-261.004	-257.771
243	P104246290	-234.394	-260.129	-256.667
244	P104253568	-487.721	-504.865	-520.516
245	P104253568	-512.213	-549.481	-560.29
246	P104253568	-517.284	-553.453	-556.374
247	P104261955	-459.026	-464.403	-472.71
248	P104261955	-432.358	-436.646	-444.082
249	P104261955	-462.523	-465.906	-479.173
250	P104263400	-494.475	-514.232	-528.016
251	P104263400	-449.523	-454.908	-468.528
252	P104263400	-494.599	-503.714	-518.154
253	P104267063	-496.152	-524.265	-516.987
254	P104267063	-491.728	-505.41	-512.107
255	P104267063	-485.747	-509.636	-514.41
256	P104295960	-204.178	-217.93	-207.024
257	P104295960	-195.422	-198.443	-199.142
258	P104295960	-200.137	-203.868	-206.225
259	P104375958	-151.01	-152.852	-153.946
260	P104375958	-150.938	-155.701	-155.366
261	P104375958	-146.697	-147.577	-152.31
262	P105257034	-179.651	-186.857	-187.272
263	P105257034	-180.679	-187.457	-187.903
264	P105257034	-180.231	-187.269	-189.49
265	P10527430	-262.011	-268.304	-274.176
266	P10527430	-256.403	-266.216	-273.712
267	P10527430	-259.486	-269.407	-276.708
268	P105605404	-320.529	-335.224	-334.545
269	P105605404	-266.459	-279.512	-277.543
270	P105605404	-266.396	-278.872	-280.415
271	P105703926	-238.077	-241.15	-247.863
272	P105703926	-237.435	-244.413	-248.871
273	P105703926	-193.376	-194.004	-193.998
274	P106400671	-240.005	-260.566	-260.599
275	P106400671	-192.263	-196.565	-201.333
276	P106400671	-191.038	-197.352	-197.582
277	P106832860	-170.273	-194.027	-189.984
278	P106832860	-201.322	-226.258	-234.723
279	P106832860	-166.024	-187.909	-185.784
280	P107109825	-244.682	-255.125	-251.188
281	P107109825	-239.831	-249.264	-250.636
282	P107109825	-244.146	-258.568	-259.477
283	P107962527	-272.268	-298.63	-297.195
284	P107962527	-260.354	-278.927	-275.603
285	P107962527	-261.389	-279.264	-276.783
286	P108077547	-207.26	-216.603	-215.953
287	P108077547	-208.464	-217.384	-216.813
288	P108077547	-208.249	-216.891	-216.416
289	P108079876	-209.891	-219.549	-220.119
290	P108079876	-209.686	-221.33	-221.869
291	P108079876	-210.027	-219.679	-221.129
292	P108523659	-217.239	-221.778	-224.494
293	P108523659	-218.549	-223.156	-226.111
294	P108523659	-218.03	-221.741	-224.819
295	P109027915	-247.524	-250.436	-250.011
296	P109027915	-290.541	-305.229	-307.609
297	P109027915	-308.379	-323.946	-337.347
298	P109134838	-306.165	-322.555	-321.311
299	P109134838	-304.506	-320.214	-319.878
300	P109134838	-304.578	-321.217	-321.2
301	P109285966	-203.694	-218.106	-218.237
302	P109285966	-206.159	-220.422	-221.206
303	P109285966	-207.504	-219.854	-222.191
304	P109290177	-161.683	-173.346	-172.725
305	P109290177	-156.889	-167.039	-169.211
306	P109290177	-156.23	-166.785	-168.933
307	P109424822	-253.772	-277.216	-280.381
308	P109424822	-246.071	-256.002	-267.813
309	P109424822	-222.905	-226.696	-236.869
310	P109575139	-171.479	-173.358	-169.86
311	P109575139	-172.155	-175.224	-172.055
312	P109575139	-172.414	-173.467	-170.24
313	P10985892	-288.336	-290.647	-305.292
314	P10985892	-273.049	-276.216	-286.887
315	P10985892	-307.487	-328.508	-335.757
316	P110501989	-276.18	-295.736	-295.064
317	P110501989	-239.895	-256.663	-258.962
318	P110501989	-279.05	-307.21	-303.818
319	P110774458	-166.715	-177.813	-190.194
320	P110774458	-178.096	-188.917	-198.853
321	P110774458	-168.687	-179.649	-190.16
322	P110845004	-176.712	-187.596	-187.802
323	P110845004	-193.243	-202.787	-205.641
324	P110845004	-175.408	-184.445	-188.146
325	P110864821	-194.968	-200.733	-202.58
326	P110864821	-191.048	-199.485	-201.601
327	P110864821	-218.448	-222.547	-224.841
328	P111068727	-330.111	-344.301	-349.244
329	P111068727	-329.308	-345.736	-347.376
