compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
55	8	-425.009	-469.555	-468.718	-6847.58	-6743.29	8	-79.0535	-6	guanine	3GAO
56	8	-423.087	-466.076	-465.759	-6872.08	-6768.34	8	-79.0041	-6	guanine	3GAO
57	8	-423.38	-469.281	-469.285	-6831.52	-6723.9	8	-78.9715	-6	guanine	3GAO
58	8-methylxanthine	-440.279	-489.948	-494.366	-6409.58	-6273.3	8-methylxanthine	-60.9186	-6	guanine	3GAO
59	8-methylxanthine	-449.64	-495.627	-500.601	-6385.86	-6248.77	8-methylxanthine	-60.8938	-6	guanine	3GAO
60	8-methylxanthine	-439.621	-487.562	-493.004	-6365.27	-6231.81	8-methylxanthine	-59.7691	-6	guanine	3GAO
61	G1	-386.14	-425.486	-425.176	-6721.6	-6582.38	G1	-56.0571	-6	guanine	3GAO
62	G1	-387.073	-427.571	-427.422	-6749.79	-6609.39	G1	-55.6675	-6	guanine	3GAO
63	G1	-371.751	-419.254	-420.278	-6648.15	-6505.34	G1	-55.3635	-6	guanine	3GAO
64	G10	-442.596	-474.972	-475.689	-4907.94	-4752.52	G10	-82.2004	-6	guanine	3GAO
65	G10	-444.814	-474.085	-472.929	-4937.45	-4780.97	G10	-80.8718	-6	guanine	3GAO
66	G10	-437.084	-474.005	-476.458	-5126.5	-4968.54	G10	-79.8623	-6	guanine	3GAO
67	G11	-434.582	-473.943	-479.721	-6235.97	-6155.64	G11	-80.9857	-5	guanine	3GAO
68	G11	-440.954	-481.34	-485.657	-6209.43	-6128.49	G11	-80.8888	-5	guanine	3GAO
69	G11	-437.743	-479.142	-483.59	-6209.43	-6128.49	G11	-79.0739	-5	guanine	3GAO
70	G12	-352.734	-383.645	-391.322	-5622.57	-5527.79	G12	-72.0618	-5	guanine	3GAO
71	G12	-367.669	-405.268	-413.49	-5921.72	-5837.32	G12	-71.3958	-5	guanine	3GAO
72	G12	-366.553	-398.846	-408.893	-6033.99	-5945.92	G12	-69.7231	-5	guanine	3GAO
