@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 11\nSize of the tree: 21\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

FMN,1,2,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20230301.1541,510,255,253,2,0,99.215686,0.784314,0,0.746269,0.007843,0.088561,19.486204,63.869028,35.536144,2148,-2112.463856,0.139357,8.423529,-8.284172,24.39234,0.095656,68.640933,0.6,3,0,0,1,250,0.4,2,1,0.6,0.75,0.771517,0.8,0.607843,0.992157,0.392157,0.607843,0.007843,0.992219,0.992157,0.991192,0.771517,0.8,0.98453,0.873008,0.992157,0.161,0.009,0.16,0.01,160,10,963626,29940720,15210645,99.215686,50,?,?,?,?
FMN,1,3,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20230301.1541,510,255,253,2,0,99.215686,0.784314,0,0.746269,0.007843,0.088561,19.486204,63.869028,35.536144,2148,-2112.463856,0.139357,8.423529,-8.284172,24.39234,0.095656,68.640933,0.6,3,0,0,1,250,0.4,2,1,0.6,0.75,0.771517,0.8,0.607843,0.992157,0.392157,0.607843,0.007843,0.992219,0.992157,0.991192,0.771517,0.8,0.98453,0.873008,0.992157,0.162,0.009,0.15,0.01,150,10,963470,29940720,15210645,99.215686,50,?,?,?,?
FMN,2,1,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20230301.1541,510,255,253,2,0,99.215686,0.784314,0,0.746269,0.007843,0.088561,19.486204,63.869028,35.536144,2148,-2112.463856,0.139357,8.423529,-8.284172,24.39234,0.095656,68.640933,0.6,3,0,0,1,250,0.4,2,1,0.6,0.75,0.771517,0.8,0.607843,0.992157,0.392157,0.607843,0.007843,0.992219,0.992157,0.991192,0.771517,0.8,0.98453,0.873008,0.992157,0.17,0.009,0.17,0.01,170,10,963350,29940720,15210645,99.215686,50,?,?,?,?
FMN,2,2,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20230301.1541,510,255,252,3,0,98.823529,1.176471,0,0.566572,0.011765,0.108465,29.229305,78.223265,35.536144,3222,-3186.463856,0.139357,12.635294,-12.495937,18.820439,0.073806,52.961399,0.4,2,0,0,1,250,0.6,3,1,0.4,0.571429,0.628695,0.7,0.411765,0.988235,0.588235,0.411765,0.011765,0.988375,0.988235,0.985749,0.628695,0.7,0.976841,0.782732,0.988235,0.171,0.01,0.17,0,170,0,963842,29940720,15210645,98.823529,50,?,?,?,?
FMN,2,3,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20230301.1541,510,255,252,3,0,98.823529,1.176471,0,0.566572,0.011765,0.108465,29.229305,78.223265,35.536144,3222,-3186.463856,0.139357,12.635294,-12.495937,18.820439,0.073806,52.961399,0.4,2,0,0,1,250,0.6,3,1,0.4,0.571429,0.628695,0.7,0.411765,0.988235,0.588235,0.411765,0.011765,0.988375,0.988235,0.985749,0.628695,0.7,0.976841,0.782732,0.988235,0.16,0.009,0.16,0,160,0,963674,29940720,15210645,98.823529,50,?,?,?,?
FMN,3,1,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20230301.1541,510,255,251,4,0,98.431373,1.568627,0,0.492537,0.015686,0.125245,38.972407,90.324446,35.536144,4296,-4260.463856,0.139357,16.847059,-16.707701,13.248537,0.051955,37.281865,0.4,2,0.004,1,0.996,249,0.6,3,0.666667,0.4,0.5,0.509201,0.698,0.278431,0.984314,0.588314,0.411686,0.015686,0.981793,0.984314,0.982384,0.509201,0.698,0.97415,0.746016,0.984314,0.167,0.009,0.17,0.01,170,10,963734,29940720,15210645,98.431373,50,?,?,?,?
FMN,3,2,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20230301.1541,510,255,253,2,0,99.215686,0.784314,0,0.746269,0.007843,0.088561,19.486204,63.869028,35.536144,2148,-2112.463856,0.139357,8.423529,-8.284172,24.39234,0.095656,68.640933,0.6,3,0,0,1,250,0.4,2,1,0.6,0.75,0.771517,0.8,0.607843,0.992157,0.392157,0.607843,0.007843,0.992219,0.992157,0.991192,0.771517,0.8,0.98453,0.873008,0.992157,0.157,0.009,0.15,0.01,150,10,963506,29940720,15210645,99.215686,50,?,?,?,?
FMN,3,3,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20230301.1541,510,255,251,4,0,98.431373,1.568627,0,0.492537,0.015686,0.125245,38.972407,90.324446,35.536144,4296,-4260.463856,0.139357,16.847059,-16.707701,13.248537,0.051955,37.281865,0.4,2,0.004,1,0.996,249,0.6,3,0.666667,0.4,0.5,0.509201,0.698,0.278431,0.984314,0.588314,0.411686,0.015686,0.981793,0.984314,0.982384,0.509201,0.698,0.97415,0.746016,0.984314,0.154,0.009,0.15,0.01,150,10,963578,29940720,15210645,98.431373,50,?,?,?,?
FMN,1,1,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20230301.1541,510,255,250,5,0,98.039216,1.960784,0,0,0.019608,0.140028,48.715509,100.9858,35.536144,5370,-5334.463856,0.139357,21.058824,-20.919466,7.676636,0.030104,21.602332,0,0,0,0,1,250,1,5,?,0,?,?,0.5,0.019608,0.980392,0.980392,0.019608,0.019608,?,0.980392,?,?,0.5,0.961553,?,0.980392,0.325,0.227,0.32,0.23,320,230,30431793,29940720,15210645,98.039216,50,?,?,?,?
FMN,1,2,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20230301.1541,510,255,250,5,0,98.039216,1.960784,0,0,0.019608,0.140028,48.715509,100.9858,35.536144,5370,-5334.463856,0.139357,21.058824,-20.919466,7.676636,0.030104,21.602332,0,0,0,0,1,250,1,5,?,0,?,?,0.5,0.019608,0.980392,0.980392,0.019608,0.019608,?,0.980392,?,?,0.5,0.961553,?,0.980392,0.373,0.235,0.37,0.23,370,230,30431793,29940720,15210645,98.039216,50,?,?,?,?
FMN,1,3,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20230301.1541,510,255,250,5,0,98.039216,1.960784,0,0,0.019608,0.140028,48.715509,100.9858,35.536144,5370,-5334.463856,0.139357,21.058824,-20.919466,7.676636,0.030104,21.602332,0,0,0,0,1,250,1,5,?,0,?,?,0.5,0.019608,0.980392,0.980392,0.019608,0.019608,?,0.980392,?,?,0.5,0.961553,?,0.980392,0.381,0.226,0.36,0.23,360,230,30431793,29940720,15210645,98.039216,50,?,?,?,?
FMN,2,1,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20230301.1541,510,255,250,5,0,98.039216,1.960784,0,0,0.019608,0.140028,48.715509,100.9858,35.536144,5370,-5334.463856,0.139357,21.058824,-20.919466,7.676636,0.030104,21.602332,0,0,0,0,1,250,1,5,?,0,?,?,0.5,0.019608,0.980392,0.980392,0.019608,0.019608,?,0.980392,?,?,0.5,0.961553,?,0.980392,0.389,0.232,0.38,0.24,380,240,30431793,29940720,15210645,98.039216,50,?,?,?,?
FMN,2,2,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20230301.1541,510,255,250,5,0,98.039216,1.960784,0,0,0.019608,0.140028,48.715509,100.9858,35.536144,5370,-5334.463856,0.139357,21.058824,-20.919466,7.676636,0.030104,21.602332,0,0,0,0,1,250,1,5,?,0,?,?,0.5,0.019608,0.980392,0.980392,0.019608,0.019608,?,0.980392,?,?,0.5,0.961553,?,0.980392,0.356,0.241,0.34,0.24,340,240,30431793,29940720,15210645,98.039216,50,?,?,?,?
FMN,2,3,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20230301.1541,510,255,250,5,0,98.039216,1.960784,0,0,0.019608,0.140028,48.715509,100.9858,35.536144,5370,-5334.463856,0.139357,21.058824,-20.919466,7.676636,0.030104,21.602332,0,0,0,0,1,250,1,5,?,0,?,?,0.5,0.019608,0.980392,0.980392,0.019608,0.019608,?,0.980392,?,?,0.5,0.961553,?,0.980392,0.336,0.231,0.34,0.23,340,230,30431793,29940720,15210645,98.039216,50,?,?,?,?
FMN,3,1,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20230301.1541,510,255,250,5,0,98.039216,1.960784,0,0,0.019608,0.140028,48.715509,100.9858,35.536144,5370,-5334.463856,0.139357,21.058824,-20.919466,7.676636,0.030104,21.602332,0,0,0,0,1,250,1,5,?,0,?,?,0.5,0.019608,0.980392,0.980392,0.019608,0.019608,?,0.980392,?,?,0.5,0.961553,?,0.980392,0.402,0.267,0.39,0.26,390,260,30431793,29940720,15210645,98.039216,50,?,?,?,?
FMN,3,2,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20230301.1541,510,255,250,5,0,98.039216,1.960784,0,0,0.019608,0.140028,48.715509,100.9858,35.536144,5370,-5334.463856,0.139357,21.058824,-20.919466,7.676636,0.030104,21.602332,0,0,0,0,1,250,1,5,?,0,?,?,0.5,0.019608,0.980392,0.980392,0.019608,0.019608,?,0.980392,?,?,0.5,0.961553,?,0.980392,0.325,0.222,0.32,0.23,320,230,30431793,29940720,15210645,98.039216,50,?,?,?,?
FMN,3,3,weka.classifiers.functions.SMO,'-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.RBFKernel -C 250007 -G 0.01\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,20230301.1541,510,255,250,5,0,98.039216,1.960784,0,0,0.019608,0.140028,48.715509,100.9858,35.536144,5370,-5334.463856,0.139357,21.058824,-20.919466,7.676636,0.030104,21.602332,0,0,0,0,1,250,1,5,?,0,?,?,0.5,0.019608,0.980392,0.980392,0.019608,0.019608,?,0.980392,?,?,0.5,0.961553,?,0.980392,0.396,0.247,0.39,0.25,390,250,30431793,29940720,15210645,98.039216,50,?,?,?,?
FMN,1,1,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20230301.1542,510,255,248,4,3,97.254902,1.568627,1.176471,0.492447,0.015922,0.125991,39.808305,90.875069,35.442144,344.121069,-308.678925,0.138989,1.36556,-1.224916,13.136581,0.052129,37.506107,0.4,2,0.004049,1,0.995951,246,0.6,3,0.666667,0.4,0.5,0.509114,0.9184,0.414749,0.984127,0.588176,0.411824,0.015873,0.981577,0.984127,0.982175,0.509114,0.69414,0.976378,0.745968,0.984127,0,56.234,0,55.88,0,55880,31378006,29940720,15210645,97.254902,49.411765,?,?,?,?
FMN,1,2,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20230301.1543,510,255,253,0,2,99.215686,0,0.784314,1,0.000012,0.000186,0.029157,0.134067,35.473477,0.004272,35.469205,0.139112,0.000017,0.140194,35.469205,0.140194,100.778376,1,5,0,0,1,248,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.001,55.755,0,55.47,0,55470,31377382,29940720,15210645,99.215686,49.607843,?,?,?,?
FMN,1,3,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20230301.1544,510,255,250,3,2,98.039216,1.176471,0.784314,0.721263,0.012047,0.10893,30.055296,78.56594,35.473477,121.547203,-86.073725,0.139112,0.480424,-0.340212,17.579168,0.069483,49.947554,0.8,4,0.008065,2,0.991935,246,0.2,1,0.666667,0.8,0.727273,0.724397,0.9808,0.834483,0.988142,0.196207,0.803793,0.011858,0.989444,0.988142,0.988669,0.724397,0.895715,0.992583,0.860606,0.988142,0,56.299,0,56.08,0,56080,31376641,29940720,15210645,98.039216,49.607843,?,?,?,?
FMN,2,1,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20230301.1545,510,255,250,3,2,98.039216,1.176471,0.784314,0.721263,0.011758,0.107927,29.335745,77.842584,35.473477,60.96158,-25.488103,0.139112,0.240955,-0.100743,19.108569,0.075528,54.293028,0.8,4,0.008065,2,0.991935,246,0.2,1,0.666667,0.8,0.727273,0.724397,0.9984,0.942857,0.988142,0.196207,0.803793,0.011858,0.989444,0.988142,0.988669,0.724397,0.9984,0.998839,0.860606,0.988142,0.001,56.06,0,55.77,0,55770,31377694,29940720,15210645,98.039216,49.607843,?,?,?,?
FMN,2,2,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20230301.1546,510,255,251,2,2,98.431373,0.784314,0.784314,0.746239,0.009408,0.092068,23.472383,66.404162,35.473477,108.527653,-73.054175,0.139112,0.428963,-0.288752,20.152874,0.079656,57.260203,0.6,3,0,0,1,248,0.4,2,1,0.6,0.75,0.771492,0.9864,0.783333,0.992095,0.392095,0.607905,0.007905,0.992158,0.992095,0.991123,0.771492,0.897394,0.991671,0.872992,0.992095,0,55.793,0,55.57,0,55570,31378708,29940720,15210645,98.431373,49.803922,?,?,?,?
FMN,2,3,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20230301.1547,510,255,249,3,3,97.647059,1.176471,1.176471,0.660682,0.011905,0.109109,29.764184,78.698616,35.442144,230.817139,-195.374995,0.138989,0.915941,-0.775298,18.726439,0.074311,53.465651,0.6,3,0.004049,1,0.995951,246,0.4,2,0.75,0.6,0.666667,0.664949,0.9504,0.674687,0.988095,0.392144,0.607856,0.011905,0.987135,0.988095,0.987446,0.664949,0.796711,0.985516,0.830303,0.988095,0.001,55.951,0,55.7,0,55700,31375822,29940720,15210645,97.647059,49.411765,?,?,?,?
FMN,3,1,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20230301.1548,510,255,247,4,4,96.862745,1.568627,1.568627,0.59187,0.015234,0.121013,38.169198,87.289248,35.410811,157.713517,-122.302706,0.138866,0.628341,-0.487262,13.400196,0.053387,38.445165,0.6,3,0.00813,2,0.99187,244,0.4,2,0.6,0.6,0.6,0.59187,0.9768,0.764583,0.984064,0.392194,0.607806,0.015936,0.984064,0.984064,0.984064,0.59187,0.898394,0.991312,0.795935,0.984064,0,55.964,0,55.73,0,55730,31377889,29940720,15210645,97.254902,49.411765,?,?,?,?
FMN,3,2,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20230301.1549,510,255,252,2,1,98.823529,0.784314,0.392157,0.746254,0.009214,0.091265,22.939195,65.822168,35.50481,126.746801,-91.241991,0.139235,0.499003,-0.35922,20.344864,0.080098,57.527309,0.6,3,0,0,1,249,0.4,2,1,0.6,0.75,0.771504,0.9792,0.714394,0.992126,0.392126,0.607874,0.007874,0.992189,0.992126,0.991157,0.771504,0.891364,0.990172,0.873,0.992126,0,55.202,0,55.01,0,55010,31376251,29940720,15210645,98.823529,50,?,?,?,?
