score,method,desc,type
0.7395537525354969,CatBoost,1ARJ,one
0.7953346855983774,CatBoost,1ARJ,one
0.7802845528455284,CatBoost,1ARJ,one
0.8231237322515212,CatBoost,1ARJ,one
0.7129817444219066,CatBoost,1ARJ,one
0.7558943089430894,CatBoost,1ARJ,one
0.9237322515212982,CatBoost,1ARJ,one
0.7559837728194726,CatBoost,1ARJ,one
0.7888211382113821,CatBoost,1ARJ,one
0.8401622718052738,CatBoost,1ARJ,one
0.8454361054766734,CatBoost,1ARJ,one
0.8607723577235773,CatBoost,1ARJ,one
0.8006085192697769,CatBoost,1ARJ,one
0.8004056795131845,CatBoost,1ARJ,one
0.8544715447154472,CatBoost,1ARJ,one
0.8310344827586207,CatBoost,1ARJ,one
0.8121703853955375,CatBoost,1ARJ,one
0.791869918699187,CatBoost,1ARJ,one
0.8330628803245436,CatBoost,1ARJ,one
0.7419878296146045,CatBoost,1ARJ,one
0.9284552845528455,CatBoost,1ARJ,one
0.9154158215010142,CatBoost,1ARJ,one
0.8062880324543611,CatBoost,1ARJ,one
0.8664634146341463,CatBoost,1ARJ,one
0.8314401622718053,CatBoost,1ARJ,one
0.6870182555780933,CatBoost,1ARJ,one
0.8497967479674797,CatBoost,1ARJ,one
0.9087221095334685,CatBoost,1ARJ,one
0.8062880324543611,CatBoost,1ARJ,one
0.6615853658536586,CatBoost,1ARJ,one
0.6752535496957404,kNN,1ARJ,one
0.6259634888438134,kNN,1ARJ,one
0.6353658536585366,kNN,1ARJ,one
0.573630831643002,kNN,1ARJ,one
0.6767748478701825,kNN,1ARJ,one
0.626829268292683,kNN,1ARJ,one
0.5761663286004057,kNN,1ARJ,one
0.583367139959432,kNN,1ARJ,one
0.6229674796747968,kNN,1ARJ,one
0.5798174442190669,kNN,1ARJ,one
0.5815415821501014,kNN,1ARJ,one
0.7257113821138211,kNN,1ARJ,one
0.6317444219066937,kNN,1ARJ,one
0.5843813387423935,kNN,1ARJ,one
0.6735772357723577,kNN,1ARJ,one
0.6746450304259635,kNN,1ARJ,one
0.5774847870182556,kNN,1ARJ,one
0.5807926829268292,kNN,1ARJ,one
0.5278904665314402,kNN,1ARJ,one
0.5827586206896552,kNN,1ARJ,one
0.6726626016260162,kNN,1ARJ,one
0.7262677484787019,kNN,1ARJ,one
0.4766734279918864,kNN,1ARJ,one
0.6286585365853657,kNN,1ARJ,one
0.6823529411764705,kNN,1ARJ,one
0.6791075050709939,kNN,1ARJ,one
0.6253048780487804,kNN,1ARJ,one
0.6323529411764707,kNN,1ARJ,one
0.6205882352941177,kNN,1ARJ,one
0.4806910569105691,kNN,1ARJ,one
0.7381338742393508,Random Forest,1ARJ,one
0.7462474645030426,Random Forest,1ARJ,one
0.8423780487804877,Random Forest,1ARJ,one
0.7401622718052738,Random Forest,1ARJ,one
0.7622718052738336,Random Forest,1ARJ,one
0.7995934959349594,Random Forest,1ARJ,one
0.7957403651115618,Random Forest,1ARJ,one
0.8367139959432048,Random Forest,1ARJ,one
0.8272357723577236,Random Forest,1ARJ,one
0.8029411764705883,Random Forest,1ARJ,one
0.8737322515212982,Random Forest,1ARJ,one
0.721849593495935,Random Forest,1ARJ,one
0.8439148073022312,Random Forest,1ARJ,one
0.767444219066937,Random Forest,1ARJ,one
0.7647357723577236,Random Forest,1ARJ,one
0.7276876267748479,Random Forest,1ARJ,one
0.7667342799188641,Random Forest,1ARJ,one
0.9234756097560975,Random Forest,1ARJ,one
0.7522312373225153,Random Forest,1ARJ,one
0.8556795131845842,Random Forest,1ARJ,one
0.8475609756097562,Random Forest,1ARJ,one
0.6592292089249492,Random Forest,1ARJ,one
0.6977687626774848,Random Forest,1ARJ,one
0.7304878048780489,Random Forest,1ARJ,one
0.8166328600405679,Random Forest,1ARJ,one
0.6467545638945233,Random Forest,1ARJ,one
0.8486788617886178,Random Forest,1ARJ,one
0.8113590263691682,Random Forest,1ARJ,one
0.7315415821501013,Random Forest,1ARJ,one
0.8295731707317073,Random Forest,1ARJ,one
0.7403651115618662,CatBoost,1LVJ,one
0.8359026369168356,CatBoost,1LVJ,one
0.8682926829268293,CatBoost,1LVJ,one
0.7795131845841785,CatBoost,1LVJ,one
0.749290060851927,CatBoost,1LVJ,one
0.7040650406504065,CatBoost,1LVJ,one
0.8091277890466532,CatBoost,1LVJ,one
0.8316430020283976,CatBoost,1LVJ,one
0.7774390243902439,CatBoost,1LVJ,one
0.8062880324543611,CatBoost,1LVJ,one
0.7957403651115619,CatBoost,1LVJ,one
0.801829268292683,CatBoost,1LVJ,one
0.9010141987829614,CatBoost,1LVJ,one
0.6766734279918865,CatBoost,1LVJ,one
0.7886178861788619,CatBoost,1LVJ,one
0.816632860040568,CatBoost,1LVJ,one
0.7898580121703854,CatBoost,1LVJ,one
0.757520325203252,CatBoost,1LVJ,one
0.849290060851927,CatBoost,1LVJ,one
0.7279918864097363,CatBoost,1LVJ,one
0.8721544715447154,CatBoost,1LVJ,one
0.8334685598377283,CatBoost,1LVJ,one
0.7559837728194726,CatBoost,1LVJ,one
0.8473577235772358,CatBoost,1LVJ,one
0.8933062880324543,CatBoost,1LVJ,one
0.793711967545639,CatBoost,1LVJ,one
0.8434959349593496,CatBoost,1LVJ,one
0.6738336713995943,CatBoost,1LVJ,one
0.8121703853955375,CatBoost,1LVJ,one
0.8922764227642277,CatBoost,1LVJ,one
0.7292089249492901,kNN,1LVJ,one
0.6712981744421906,kNN,1LVJ,one
0.7103658536585366,kNN,1LVJ,one
0.5565922920892495,kNN,1LVJ,one
0.8157200811359026,kNN,1LVJ,one
0.6277439024390244,kNN,1LVJ,one
0.5711967545638945,kNN,1LVJ,one
0.6653144016227179,kNN,1LVJ,one
0.6774390243902438,kNN,1LVJ,one
0.6794117647058823,kNN,1LVJ,one
0.6690669371196755,kNN,1LVJ,one
0.7646341463414634,kNN,1LVJ,one
0.6157200811359027,kNN,1LVJ,one
0.5768762677484787,kNN,1LVJ,one
0.7685975609756097,kNN,1LVJ,one
0.765922920892495,kNN,1LVJ,one
0.6835699797160243,kNN,1LVJ,one
0.6283536585365853,kNN,1LVJ,one
0.7137931034482758,kNN,1LVJ,one
0.7293103448275863,kNN,1LVJ,one
0.6767276422764228,kNN,1LVJ,one
0.6709939148073022,kNN,1LVJ,one
0.7152129817444218,kNN,1LVJ,one
0.6628048780487804,kNN,1LVJ,one
0.6121703853955375,kNN,1LVJ,one
0.7084178498985801,kNN,1LVJ,one
0.6791666666666666,kNN,1LVJ,one
0.6234279918864097,kNN,1LVJ,one
0.7185598377281949,kNN,1LVJ,one
0.6573170731707317,kNN,1LVJ,one
0.8715010141987829,Random Forest,1LVJ,one
0.6988843813387424,Random Forest,1LVJ,one
0.8088414634146341,Random Forest,1LVJ,one
0.8645030425963488,Random Forest,1LVJ,one
0.6009127789046653,Random Forest,1LVJ,one
0.7792682926829269,Random Forest,1LVJ,one
0.6322515212981745,Random Forest,1LVJ,one
0.7390466531440163,Random Forest,1LVJ,one
0.8907520325203251,Random Forest,1LVJ,one
0.7209939148073021,Random Forest,1LVJ,one
0.8954361054766734,Random Forest,1LVJ,one
0.7953252032520326,Random Forest,1LVJ,one
0.8558823529411765,Random Forest,1LVJ,one
0.8086206896551724,Random Forest,1LVJ,one
0.7353658536585366,Random Forest,1LVJ,one
0.8794117647058823,Random Forest,1LVJ,one
0.8683569979716024,Random Forest,1LVJ,one
0.7348577235772359,Random Forest,1LVJ,one
0.8872210953346855,Random Forest,1LVJ,one
0.7005070993914807,Random Forest,1LVJ,one
0.7889227642276424,Random Forest,1LVJ,one
0.8271805273833671,Random Forest,1LVJ,one
0.7392494929006086,Random Forest,1LVJ,one
0.7270325203252033,Random Forest,1LVJ,one
0.7343813387423934,Random Forest,1LVJ,one
0.9057809330628803,Random Forest,1LVJ,one
0.7008130081300813,Random Forest,1LVJ,one
0.6981744421906693,Random Forest,1LVJ,one
0.8315415821501013,Random Forest,1LVJ,one
0.8048780487804877,Random Forest,1LVJ,one
0.778498985801217,CatBoost,1UTS,one
0.6030425963488844,CatBoost,1UTS,one
0.7376016260162601,CatBoost,1UTS,one
0.7440162271805274,CatBoost,1UTS,one
0.8555780933062881,CatBoost,1UTS,one
0.8981707317073171,CatBoost,1UTS,one
0.8738336713995944,CatBoost,1UTS,one
0.846450304259635,CatBoost,1UTS,one
0.7902439024390244,CatBoost,1UTS,one
0.8113590263691683,CatBoost,1UTS,one
0.818052738336714,CatBoost,1UTS,one
0.8465447154471545,CatBoost,1UTS,one
0.786206896551724,CatBoost,1UTS,one
0.7160243407707911,CatBoost,1UTS,one
0.8835365853658537,CatBoost,1UTS,one
0.9042596348884382,CatBoost,1UTS,one
0.8572008113590264,CatBoost,1UTS,one
0.7845528455284553,CatBoost,1UTS,one
0.7955375253549696,CatBoost,1UTS,one
0.8545638945233265,CatBoost,1UTS,one
0.7985772357723577,CatBoost,1UTS,one
0.7016227180527383,CatBoost,1UTS,one
0.8912778904665315,CatBoost,1UTS,one
0.7833333333333333,CatBoost,1UTS,one
0.759026369168357,CatBoost,1UTS,one
0.8949290060851927,CatBoost,1UTS,one
0.8282520325203252,CatBoost,1UTS,one
0.7910750507099392,CatBoost,1UTS,one
0.8624746450304259,CatBoost,1UTS,one
0.8882113821138211,CatBoost,1UTS,one
0.6614604462474645,kNN,1UTS,one
0.5765720081135903,kNN,1UTS,one
0.661280487804878,kNN,1UTS,one
0.6738336713995944,kNN,1UTS,one
0.6622718052738337,kNN,1UTS,one
0.6532520325203252,kNN,1UTS,one
0.6671399594320486,kNN,1UTS,one
0.715922920892495,kNN,1UTS,one
0.8191056910569106,kNN,1UTS,one
0.563894523326572,kNN,1UTS,one
0.8207910750507099,kNN,1UTS,one
0.8111788617886178,kNN,1UTS,one
0.6658215010141988,kNN,1UTS,one
0.6118661257606491,kNN,1UTS,one
0.8659552845528455,kNN,1UTS,one
0.7692697768762677,kNN,1UTS,one
0.5764705882352941,kNN,1UTS,one
0.7040650406504065,kNN,1UTS,one
0.6683569979716024,kNN,1UTS,one
0.7482758620689656,kNN,1UTS,one
0.6790650406504065,kNN,1UTS,one
0.7619675456389453,kNN,1UTS,one
0.6740365111561866,kNN,1UTS,one
0.695630081300813,kNN,1UTS,one
0.5651115618661258,kNN,1UTS,one
0.6608519269776876,kNN,1UTS,one
0.7157520325203253,kNN,1UTS,one
0.7043610547667342,kNN,1UTS,one
0.6797160243407708,kNN,1UTS,one
0.7195121951219512,kNN,1UTS,one
0.6643002028397567,Random Forest,1UTS,one
0.7192697768762677,Random Forest,1UTS,one
0.8832317073170732,Random Forest,1UTS,one
0.7022312373225152,Random Forest,1UTS,one
0.7165314401622718,Random Forest,1UTS,one
0.8983739837398375,Random Forest,1UTS,one
0.6674442190669372,Random Forest,1UTS,one
0.7408722109533469,Random Forest,1UTS,one
0.8079268292682926,Random Forest,1UTS,one
0.7651115618661257,Random Forest,1UTS,one
0.6454361054766734,Random Forest,1UTS,one
0.7574186991869918,Random Forest,1UTS,one
0.7776876267748478,Random Forest,1UTS,one
0.7787018255578093,Random Forest,1UTS,one
0.8657520325203253,Random Forest,1UTS,one
0.6718052738336714,Random Forest,1UTS,one
0.8036511156186612,Random Forest,1UTS,one
0.7786585365853659,Random Forest,1UTS,one
0.6446247464503042,Random Forest,1UTS,one
0.8641987829614605,Random Forest,1UTS,one
0.8232723577235772,Random Forest,1UTS,one
0.6033468559837728,Random Forest,1UTS,one
0.7842799188640974,Random Forest,1UTS,one
0.7150406504065041,Random Forest,1UTS,one
0.8067951318458417,Random Forest,1UTS,one
0.8446247464503043,Random Forest,1UTS,one
0.7981707317073171,Random Forest,1UTS,one
