compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern	score:LigandRNA-basic	score:LigandRNA-modern	title	score:rDock-dock_solv	score:rf-score-vs	target	pdb
52	MV2005	-102.656	-102.175	-103.958	-1427.82	-1364.65	MV2005	-15.4776	-6	hiv	1UUI
53	MV2005	-102.724	-101.64	-103.874	-1451.11	-1388.17	MV2005	-15.4761	-6	hiv	1UUI
54	MV2005	-102.74	-102.174	-103.877	-1434.19	-1366.32	MV2005	-14.4393	-6	hiv	1UUI
55	MV2017	-82.096	-84.538	-87.183	-1481.83	-1501.53	MV2017	-30.5593	-6	hiv	1UUI
56	MV2017	-81.977	-84.935	-88.126	-1529.31	-1543.9	MV2017	-30.4594	-6	hiv	1UUI
57	MV2017	-82.356	-84.427	-87.529	-1490.95	-1508.63	MV2017	-30.4295	-6	hiv	1UUI
58	Mitoxantrone	-187.033	-193.555	-187.188	-224.22	-215.83	Mitoxantrone	-2.87281	-6	hiv	1UUI
59	Mitoxantrone	-200.981	-207.344	-205.92	-136.03	-122.44	Mitoxantrone	-2.22586	-6	hiv	1UUI
60	Mitoxantrone	-191.836	-188.999	-190.483	-151.53	-142.48	Mitoxantrone	-0.553802	-6	hiv	1UUI
61	P04500145	-212.781	-230.307	-222.669	-517.07	-505.11	P04500145	-18.5942	-5	hiv	1UUI
62	P04500145	-205.958	-220.286	-214.824	-488.78	-473.61	P04500145	-17.9516	-5	hiv	1UUI
63	P04500145	-210.307	-224.942	-218.051	-458.53	-442.03	P04500145	-17.8619	-5	hiv	1UUI
64	P04500176	-216.528	-222.204	-223.175	-1328.83	-1304.87	P04500176	-17.8092	-6	hiv	1UUI
65	P04500176	-220.115	-226.575	-227.369	-1328.83	-1304.87	P04500176	-17.3821	-6	hiv	1UUI
66	P04500176	-215.87	-221.051	-223.183	-1165.77	-1136.2	P04500176	-16.1576	-6	hiv	1UUI
67	P04500242	-213.608	-211.965	-216.466	-252.89	-233.29	P04500242	-8.11549	-6	hiv	1UUI
68	P04500242	-213.561	-208.806	-216.513	-245.95	-225.88	P04500242	-5.87523	-6	hiv	1UUI
69	P04500242	-217.43	-216.666	-219.491	-239.34	-220.02	P04500242	-4.32747	-6	hiv	1UUI
70	P04500263	-219.59	-224.191	-224.833	-639.79	-644.64	P04500263	-22.7397	-5	hiv	1UUI
71	P04500263	-222.694	-222.026	-226.483	-662.72	-664.81	P04500263	-20.5647	-5	hiv	1UUI
72	P04500263	-208.845	-212.623	-211.237	-755.49	-753.72	P04500263	-20.4502	-5	hiv	1UUI
73	P04500274	-228.261	-236.258	-235.771	-804.91	-798.96	P04500274	-11.9886	-6	hiv	1UUI
74	P04500274	-223.697	-234.963	-230.96	-871.44	-865.29	P04500274	-11.8715	-6	hiv	1UUI
75	P04500274	-209.696	-210.322	-216.277	-764.55	-759.14	P04500274	-11.6796	-5	hiv	1UUI
76	P04501273	-212.391	-209.082	-219.593	-639.34	-645.57	P04501273	-28.7805	-6	hiv	1UUI
77	P04501273	-216.942	-207.428	-217.157	-704.42	-711.23	P04501273	-23.787	-6	hiv	1UUI
78	P04501273	-208.119	-209.157	-214.408	-653.27	-656.33	P04501273	-23.523	-6	hiv	1UUI
79	P04501692	-244.82	-244.887	-252.982	-407.88	-405.8	P04501692	-14.6262	-6	hiv	1UUI
80	P04501692	-249.614	-252.218	-256.971	-387.97	-388.81	P04501692	-10.7628	-6	hiv	1UUI
81	P04501692	-242.259	-249.309	-255.657	-440.02	-440.89	P04501692	-7.79082	-6	hiv	1UUI
82	P04501819	-234.344	-236.912	-239.597	-571.82	-529.19	P04501819	-15.3723	-6	hiv	1UUI
83	P04501819	-237.817	-250.887	-248.551	-333.94	-309.83	P04501819	-14.301	-6	hiv	1UUI
84	P04501819	-232.242	-236.158	-237.138	-510.21	-477.39	P04501819	-14.0226	-6	hiv	1UUI
85	P04501857	-208.306	-215.701	-213.275	-530.74	-514.65	P04501857	-26.3635	-6	hiv	1UUI
86	P04501857	-205.591	-211.843	-211.808	-506.0	-485.17	P04501857	-26.2574	-6	hiv	1UUI
87	P04501857	-204.521	-210.617	-210.486	-505.72	-485.29	P04501857	-25.1063	-6	hiv	1UUI
88	P04545838	-244.637	-256.565	-259.371	-1618.3	-1575.37	P04545838	-25.3329	-6	hiv	1UUI
89	P04545838	-163.501	-158.077	-159.606	-515.24	-479.89	P04545838	-24.5619	-6	hiv	1UUI
90	P04545838	-158.738	-155.372	-158.897	-505.1	-471.21	P04545838	-24.5375	-6	hiv	1UUI
91	P04754398	-255.918	-258.637	-260.187	-386.65	-316.14	P04754398	-7.58328	-5	hiv	1UUI
92	P04754398	-224.317	-217.755	-221.96	-415.21	-365.93	P04754398	-5.94663	-5	hiv	1UUI
93	P04754398	-264.867	-266.606	-267.435	-538.1	-466.74	P04754398	-4.58505	-5	hiv	1UUI
94	P04819314	-202.422	-201.358	-202.787	-1221.11	-1216.11	P04819314	-30.8616	-6	hiv	1UUI
95	P04819314	-202.301	-203.752	-209.159	-1103.81	-1107.93	P04819314	-30.6914	-6	hiv	1UUI
96	P04819314	-201.688	-199.53	-201.312	-1211.8	-1208.21	P04819314	-30.686	-6	hiv	1UUI
97	P04966396	-227.242	-239.773	-248.217	-1045.19	-1022.05	P04966396	-26.6189	-5	hiv	1UUI
98	P04966396	-221.085	-232.353	-243.603	-1117.42	-1083.73	P04966396	-24.7246	-5	hiv	1UUI
99	P04966396	-221.951	-239.89	-245.385	-1130.32	-1096.09	P04966396	-23.5656	-5	hiv	1UUI
100	P04982231	-254.629	-266.628	-263.54	-1385.11	-1314.56	P04982231	-29.2271	-5	hiv	1UUI
101	P04982231	-262.472	-270.82	-269.083	-1416.99	-1344.33	P04982231	-28.2262	-5	hiv	1UUI
102	P04982231	-259.626	-271.792	-270.384	-1417.13	-1344.48	P04982231	-27.8476	-5	hiv	1UUI
103	P05160259	-157.9	-164.681	-169.543	-797.01	-778.03	P05160259	-24.5515	-5	hiv	1UUI
104	P05160259	-137.807	-138.22	-144.903	-464.28	-451.06	P05160259	-22.0908	-5	hiv	1UUI
105	P05160259	-154.092	-159.588	-163.421	-733.92	-714.8	P05160259	-21.299	-6	hiv	1UUI
106	P05375011	-150.186	-155.241	-155.774	-423.59	-371.25	P05375011	-25.4169	-6	hiv	1UUI
107	P05375011	-148.338	-154.541	-155.068	-404.23	-351.37	P05375011	-25.3683	-6	hiv	1UUI
108	P05375011	-150.362	-155.335	-156.141	-420.0	-365.73	P05375011	-25.0711	-6	hiv	1UUI
109	P05407736	-113.292	-123.874	-126.118	-1417.35	-1401.69	P05407736	-23.2223	-6	hiv	1UUI
110	P05407736	-113.768	-124.226	-126.601	-1364.41	-1350.56	P05407736	-23.1897	-6	hiv	1UUI
111	P05407736	-114.029	-124.155	-126.446	-1364.41	-1350.56	P05407736	-23.1398	-6	hiv	1UUI
112	P05454129	-225.007	-230.417	-233.507	72.57	123.97	P05454129	-9.51804	-5	hiv	1UUI
113	P05454129	-226.767	-226.886	-230.162	-4.49	38.03	P05454129	-5.6598	-5	hiv	1UUI
114	P05454129	-220.45	-226.155	-229.37	-175.43	-122.86	P05454129	-3.90055	-5	hiv	1UUI
115	P05498331	-137.97	-141.087	-142.097	-518.8	-450.55	P05498331	-30.0514	-6	hiv	1UUI
116	P05498331	-138.784	-140.146	-142.714	-526.8	-456.61	P05498331	-29.0426	-6	hiv	1UUI
117	P05498331	-139.335	-138.903	-142.633	-507.73	-438.09	P05498331	-28.5556	-6	hiv	1UUI
118	P05549510	-230.095	-230.392	-230.564	-521.12	-463.3	P05549510	-23.8974	-5	hiv	1UUI
119	P05549510	-233.411	-248.441	-241.816	-249.85	-200.14	P05549510	-23.8661	-5	hiv	1UUI
120	P05549510	-227.445	-226.544	-227.399	-482.37	-425.11	P05549510	-22.6844	-5	hiv	1UUI
121	P05622709	-212.809	-221.32	-225.232	-1318.2	-1312.04	P05622709	-32.2834	-6	hiv	1UUI
122	P05622709	-211.99	-219.533	-220.845	-1318.2	-1312.04	P05622709	-31.1575	-6	hiv	1UUI
123	P05622709	-212.55	-220.536	-220.529	-1323.43	-1316.06	P05622709	-31.1445	-6	hiv	1UUI
124	P05798951	-273.479	-270.281	-276.341	-284.47	-252.69	P05798951	-20.3609	-5	hiv	1UUI
125	P05798951	-244.85	-250.545	-252.913	-113.68	-81.02	P05798951	-19.3554	-5	hiv	1UUI
126	P05798951	-260.693	-271.126	-278.363	-538.49	-508.1	P05798951	-18.9061	-5	hiv	1UUI
127	P05865749	-177.447	-171.903	-174.319	-1347.55	-1295.05	P05865749	-18.6908	-6	hiv	1UUI
128	P05865749	-178.955	-173.067	-177.539	-1344.31	-1290.79	P05865749	-18.6845	-6	hiv	1UUI
129	P05865749	-174.714	-173.635	-181.049	-1309.21	-1258.49	P05865749	-18.1609	-6	hiv	1UUI
130	P05892028	-210.524	-218.012	-214.737	-1215.62	-1185.04	P05892028	-21.4513	-5	hiv	1UUI
131	P05892028	-193.669	-197.441	-195.749	-1089.37	-1052.11	P05892028	-21.1095	-5	hiv	1UUI
132	P05892028	-199.785	-206.504	-203.09	-1063.58	-1023.06	P05892028	-21.051	-5	hiv	1UUI
133	P05972320	-237.66	-258.209	-250.499	-492.81	-443.12	P05972320	-20.2807	-6	hiv	1UUI
134	P05972320	-230.96	-234.599	-231.246	-539.66	-482.45	P05972320	-18.6642	-6	hiv	1UUI
135	P05972320	-251.637	-256.449	-251.88	-645.4	-589.87	P05972320	-17.8051	-6	hiv	1UUI
136	P06168530	-206.261	-207.954	-205.382	-766.25	-737.16	P06168530	-25.4511	-5	hiv	1UUI
137	P06168530	-165.166	-176.912	-174.274	-157.42	-149.36	P06168530	-25.2237	-5	hiv	1UUI
138	P06168530	-211.839	-221.533	-219.537	-692.76	-673.33	P06168530	-24.6053	-5	hiv	1UUI
139	P06219489	-304.93	-318.059	-315.209	-274.75	-243.61	P06219489	-33.0628	-5	hiv	1UUI
140	P06219489	-285.504	-298.963	-306.011	-67.46	-48.89	P06219489	-31.2354	-5	hiv	1UUI
141	P06219489	-283.095	-291.58	-294.695	-113.12	-72.39	P06219489	-30.5039	-5	hiv	1UUI
142	P06282721	-265.196	-276.192	-278.065	-1089.22	-1046.81	P06282721	-30.6727	-6	hiv	1UUI
143	P06282721	-249.131	-259.671	-256.183	-841.75	-814.87	P06282721	-28.8288	-5	hiv	1UUI
144	P06282721	-254.781	-271.495	-270.745	-1196.04	-1147.28	P06282721	-28.6094	-6	hiv	1UUI
145	P06413841	-204.455	-217.325	-215.945	-1593.84	-1582.95	P06413841	-38.7685	-5	hiv	1UUI
146	P06413841	-200.737	-213.478	-211.658	-1604.76	-1594.59	P06413841	-38.7245	-5	hiv	1UUI
147	P06413841	-203.68	-215.297	-215.074	-1608.83	-1598.17	P06413841	-38.7117	-5	hiv	1UUI
148	P06666378	-291.144	-309.696	-299.084	-545.04	-498.57	P06666378	-18.015	-5	hiv	1UUI
149	P06666378	-286.977	-305.447	-299.905	-423.14	-377.22	P06666378	-17.4464	-5	hiv	1UUI
150	P06666378	-279.694	-295.46	-290.719	-444.31	-396.37	P06666378	-15.2274	-5	hiv	1UUI
151	P06702309	-143.885	-138.972	-148.122	-474.19	-424.99	P06702309	-21.3995	-5	hiv	1UUI
152	P06702309	-156.21	-160.808	-160.269	-585.67	-538.15	P06702309	-19.9471	-5	hiv	1UUI
153	P06702309	-144.348	-140.729	-149.992	-482.46	-429.66	P06702309	-18.7384	-5	hiv	1UUI
154	P06768307	-241.874	-236.99	-242.719	-873.61	-822.32	P06768307	-27.9426	-5	hiv	1UUI
155	P06768307	-278.214	-280.476	-282.853	-785.92	-715.07	P06768307	-27.2029	-5	hiv	1UUI
156	P06768307	-282.352	-283.487	-288.283	-878.0	-807.46	P06768307	-26.9546	-5	hiv	1UUI
157	P06771401	-172.361	-189.488	-182.298	-647.99	-591.26	P06771401	-5.19545	-6	hiv	1UUI
158	P06771401	-172.223	-188.736	-177.959	-717.23	-659.91	P06771401	-4.03587	-6	hiv	1UUI
159	P06771401	-170.843	-190.157	-178.906	-726.35	-668.81	P06771401	-3.85712	-6	hiv	1UUI
160	P07136692	-189.2	-190.057	-189.274	-915.05	-885.86	P07136692	-27.3864	-5	hiv	1UUI
161	P07136692	-169.859	-175.76	-174.888	-694.36	-636.83	P07136692	-26.1696	-5	hiv	1UUI
162	P07136692	-168.971	-174.917	-173.655	-701.54	-643.86	P07136692	-25.0803	-5	hiv	1UUI
163	P07138396	-222.7	-229.309	-227.148	-1224.23	-1178.98	P07138396	-30.037	-5	hiv	1UUI
164	P07138396	-211.571	-215.273	-213.323	-1302.18	-1261.01	P07138396	-28.3982	-5	hiv	1UUI
165	P07138396	-220.416	-218.152	-218.963	-1169.04	-1123.58	P07138396	-28.3346	-5	hiv	1UUI
166	P07174041	-212.872	-212.813	-214.666	-690.59	-649.01	P07174041	-22.8892	-6	hiv	1UUI
167	P07174041	-191.573	-194.481	-192.946	-963.45	-934.03	P07174041	-20.8253	-5	hiv	1UUI
168	P07174041	-205.377	-201.274	-204.887	-768.73	-725.24	P07174041	-19.0581	-6	hiv	1UUI
169	P07569050	-129.862	-127.242	-126.829	-970.26	-960.47	P07569050	-5.47659	-5	hiv	1UUI
170	P07569050	-132.378	-129.937	-127.51	-973.62	-963.26	P07569050	-4.61674	-5	hiv	1UUI
171	P07569050	-131.168	-130.315	-127.188	-973.79	-962.49	P07569050	-4.58433	-5	hiv	1UUI
172	P07583861	-242.629	-253.28	-259.091	-1039.19	-995.38	P07583861	-32.3614	-6	hiv	1UUI
173	P07583861	-251.351	-263.938	-261.33	-988.26	-939.92	P07583861	-30.157	-6	hiv	1UUI
174	P07583861	-246.097	-254.906	-258.738	-1051.26	-1006.24	P07583861	-29.5787	-6	hiv	1UUI
175	P07715533	-212.017	-220.198	-222.734	-1049.47	-1063.13	P07715533	-40.3124	-6	hiv	1UUI
176	P07715533	-206.636	-208.237	-211.7	-1028.17	-1043.05	P07715533	-37.9098	-6	hiv	1UUI
177	P07715533	-205.798	-211.739	-212.179	-1033.47	-1044.21	P07715533	-36.6736	-6	hiv	1UUI
178	P07782977	-318.853	-328.192	-329.515	-815.47	-760.71	P07782977	-9.55151	-5	hiv	1UUI
179	P07782977	-295.326	-304.561	-307.37	-545.24	-502.2	P07782977	-8.05398	-5	hiv	1UUI
180	P07782977	-309.752	-315.483	-308.376	-720.61	-669.7	P07782977	-7.72243	-5	hiv	1UUI
181	P07839198	-221.306	-223.038	-227.023	-1161.92	-1144.46	P07839198	-28.4239	-6	hiv	1UUI
182	P07839198	-240.389	-240.349	-245.454	-1382.67	-1363.69	P07839198	-25.5703	-6	hiv	1UUI
183	P07839198	-239.961	-237.5	-244.605	-1382.67	-1363.69	P07839198	-25.0587	-6	hiv	1UUI
184	P08011852	-249.578	-255.195	-252.709	-848.74	-808.98	P08011852	-28.4402	-5	hiv	1UUI
185	P08011852	-256.856	-254.826	-255.088	-908.06	-855.92	P08011852	-27.3247	-6	hiv	1UUI
186	P08011852	-250.237	-258.783	-257.578	-953.63	-906.97	P08011852	-23.9884	-5	hiv	1UUI
