compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
146	P06880560	-241.931	-259.466	-260.167
147	P06880560	-244.912	-264.222	-266.071
148	P07004269	-308.322	-305.334	-312.282
149	P07004269	-315.527	-319.485	-325.4
150	P07004269	-314.971	-322.413	-324.325
151	P07497395	-204.454	-208.995	-205.927
152	P07497395	-219.201	-229.544	-228.604
153	P07497395	-221.369	-238.202	-232.3
154	P07862578	-454.982	-469.075	-478.88
155	P07862578	-457.519	-479.232	-487.312
156	P07862578	-457.112	-473.032	-482.989
157	P07919128	-455.915	-471.106	-470.318
158	P07919128	-457.251	-474.746	-475.202
159	P07919128	-464.647	-481.283	-482.243
160	P07956841	-330.747	-363.851	-369.056
161	P07956841	-333.459	-365.063	-369.848
162	P07956841	-333.357	-366.291	-370.747
163	P08165825	-261.454	-277.435	-274.58
164	P08165825	-271.487	-286.226	-284.77
165	P08165825	-273.292	-288.094	-284.406
166	P08190549	-424.619	-452.414	-455.278
167	P08190549	-409.248	-439.892	-439.726
168	P08190549	-398.536	-407.094	-401.06
169	P08215567	-193.315	-195.616	-195.212
170	P08215567	-236.877	-239.991	-240.968
171	P08215567	-237.452	-240.102	-240.895
172	P08456800	-406.759	-434.571	-445.376
173	P08456800	-407.104	-434.79	-443.821
174	P08456800	-398.353	-426.754	-436.409
175	P08757744	-340.691	-351.618	-353.044
176	P08757744	-339.433	-351.385	-352.003
177	P08757744	-339.79	-353.119	-355.495
178	P09911675	-209.354	-210.145	-214.598
179	P09911675	-207.454	-214.173	-221.367
180	P09911675	-207.003	-209.12	-211.731
181	P101141853	-426.868	-441.162	-443.765
182	P101141853	-427.743	-441.501	-445.228
183	P101141853	-426.422	-438.89	-440.457
184	P101623589	-334.354	-359.047	-362.367
185	P101623589	-332.675	-357.481	-360.212
186	P101623589	-334.936	-356.792	-360.24
187	P101624250	-267.238	-274.45	-275.678
188	P101624250	-267.658	-275.134	-275.639
189	P101624250	-268.767	-272.718	-274.883
190	P101755291	-293.197	-313.084	-308.453
191	P101755291	-292.935	-304.99	-301.336
192	P101755291	-290.112	-300.989	-299.486
193	P102050597	-213.322	-235.245	-237.966
194	P102050597	-212.308	-233.365	-235.942
195	P102050597	-185.374	-197.833	-197.193
196	P10219034	-270.585	-274.412	-284.948
197	P10219034	-267.671	-274.171	-278.509
198	P10219034	-257.367	-266.191	-269.582
199	P103445670	-177.39	-189.596	-191.05
200	P103445670	-177.636	-189.562	-191.572
201	P103445670	-180.38	-191.958	-194.635
