compoundId	compound	AnnapuRNA Score:RF_modern	AnnapuRNA Score:kNN_basic	AnnapuRNA Score:kNN_modern
135	P08509442	-231.936	-234.546	-243.624
136	P08543123	-267.137	-278.129	-281.814
137	P08543123	-198.042	-195.168	-201.372
138	P08543123	-185.214	-192.881	-195.487
139	P08565280	-292.797	-311.972	-314.657
140	P08565280	-278.227	-292.027	-296.299
141	P08565280	-277.206	-291.699	-295.575
142	P08648168	-346.222	-381.001	-386.078
143	P08648168	-366.457	-395.255	-400.435
144	P08648168	-361.467	-389.361	-392.403
145	P08736860	-80.867	-81.814	-84.714
146	P08736860	-83.442	-84.267	-87.149
147	P08736860	-85.168	-86.142	-86.466
148	P08806353	-139.883	-139.186	-142.447
149	P08806353	-140.142	-138.679	-142.268
150	P08806353	-181.776	-189.531	-190.073
151	P08807601	-168.28	-174.195	-170.436
152	P08807601	-137.587	-140.357	-144.325
153	P08807601	-138.596	-143.271	-145.399
154	P09106717	-187.965	-196.252	-192.929
155	P09106717	-187.892	-192.586	-192.113
156	P09106717	-179.898	-186.057	-186.003
157	P09669162	-317.769	-331.573	-336.004
158	P09669162	-313.388	-327.297	-331.607
159	P09669162	-316.843	-332.123	-336.305
160	P09891088	-127.098	-123.413	-124.984
161	P09891088	-127.586	-124.707	-126.12
162	P09891088	-128.739	-125.54	-126.545
163	P101149041	-163.46	-167.412	-165.366
164	P101149041	-164.271	-167.966	-165.907
165	P101149041	-164.267	-164.769	-164.648
166	P10145198	-320.534	-330.775	-330.493
167	P10145198	-320.674	-331.689	-330.395
168	P10145198	-320.331	-330.825	-330.075
169	P101623589	-316.383	-337.467	-343.422
170	P101623589	-317.422	-341.497	-345.533
171	P101623589	-317.052	-338.754	-344.378
172	P101756367	-244.307	-246.463	-251.73
173	P101756367	-244.826	-251.041	-253.325
174	P101756367	-257.027	-266.52	-267.666
175	P101968359	-140.146	-137.047	-146.438
176	P101968359	-158.36	-155.357	-162.79
177	P101968359	-140.115	-138.258	-147.408
178	P102003146	-216.671	-221.765	-224.889
179	P102003146	-215.458	-221.336	-225.714
180	P102003146	-216.054	-221.92	-227.035
181	P102016704	-206.686	-211.346	-215.116
182	P102016704	-195.139	-198.229	-201.393
183	P102016704	-193.229	-194.346	-201.603
184	P105265063	-143.81	-149.61	-147.643
185	P105265063	-152.502	-156.59	-150.559
186	P105265063	-156.803	-153.884	-157.94
187	P106135150	-241.579	-244.286	-248.293
188	P106135150	-299.207	-309.427	-318.472
189	P106135150	-269.921	-285.026	-291.212
190	P10674555	-129.639	-133.22	-133.648
191	P10674555	-130.395	-134.07	-134.245
192	P10674555	-130.224	-134.78	-134.948
193	P107050635	-243.877	-247.289	-249.76
194	P107050635	-244.115	-245.685	-248.473
195	P107050635	-243.676	-246.059	-248.429
196	P107204890	-239.978	-249.32	-251.442
197	P107204890	-240.352	-249.157	-251.354
198	P107204890	-235.545	-244.04	-244.989
199	P107204897	-270.769	-283.47	-287.812
200	P107204897	-274.401	-284.296	-286.852
201	P107204897	-265.726	-272.682	-274.409
202	P107221164	-117.322	-118.225	-117.901
203	P107221164	-114.216	-116.725	-116.902
204	P107221164	-118.406	-119.873	-119.545
205	P107223300	-273.574	-288.633	-288.544
206	P107223300	-248.874	-252.314	-245.289
207	P107223300	-251.107	-255.462	-248.058
208	P107223394	-243.873	-250.416	-251.53
209	P107223394	-243.563	-248.463	-251.545
210	P107223394	-263.681	-267.736	-270.759
211	P107223398	-167.393	-168.348	-168.981
212	P107223398	-262.072	-265.476	-269.053
213	P107223398	-251.502	-250.375	-249.048
214	P107413871	-188.132	-184.153	-190.477
215	P107413871	-185.743	-188.998	-191.532
216	P107413871	-183.825	-188.342	-191.615
217	P107706437	-178.229	-184.189	-184.759
218	P107706437	-178.548	-184.595	-190.426
219	P107706437	-146.617	-146.802	-146.805
220	P107795502	-139.249	-141.682	-143.144
221	P107795502	-140.229	-142.331	-142.668
222	P107795502	-169.436	-177.398	-175.821
223	P107841303	-187.268	-192.909	-197.964
224	P107841303	-193.592	-212.467	-213.425
225	P107841303	-196.378	-220.636	-219.258
226	P107853054	-221.436	-235.333	-235.935
227	P107853054	-221.651	-236.725	-236.342
228	P107853054	-221.528	-235.761	-235.813
229	P107866678	-215.386	-218.638	-219.344
230	P107866678	-266.75	-289.146	-289.645
231	P107866678	-218.557	-220.432	-220.701
232	P107914163	-200.524	-198.045	-198.621
233	P107914163	-199.778	-197.036	-198.374
234	P107914163	-199.7	-197.409	-198.095
235	P107919640	-211.99	-218.598	-223.973
236	P107919640	-231.449	-246.189	-249.721
237	P107919640	-232.788	-245.216	-250.066
238	P107970135	-181.226	-188.211	-192.668
239	P107970135	-180.782	-186.112	-191.39
240	P107970135	-186.761	-197.316	-200.341
241	P107970260	-229.646	-230.101	-237.489
242	P107970260	-228.38	-228.505	-237.104
243	P107970260	-230.737	-232.458	-235.992
244	P107971029	-237.741	-248.419	-254.406
245	P107971029	-239.149	-252.729	-258.181
246	P107971029	-238.711	-251.681	-256.472
247	P107971162	-261.68	-270.865	-278.307
248	P107971162	-265.242	-273.75	-282.191
249	P107971162	-263.931	-273.771	-282.316
250	P108127470	-177.277	-199.438	-197.455
251	P108127470	-175.595	-197.919	-196.545
252	P108127470	-174.361	-198.021	-196.164
253	P108127522	-252.697	-276.434	-277.602
254	P108127522	-253.004	-275.927	-277.221
255	P108127522	-253.602	-277.274	-278.329
256	P108134459	-238.805	-255.562	-253.931
257	P108134459	-246.277	-261.445	-259.843
258	P108134459	-247.23	-262.989	-261.425
259	P108141367	-305.481	-326.692	-328.775
260	P108141367	-302.614	-325.069	-327.757
261	P108141367	-305.691	-325.938	-329.138
262	P108142038	-265.934	-286.903	-287.232
263	P108142038	-266.189	-287.251	-286.859
264	P108142038	-265.31	-286.429	-286.302
265	P108142039	-285.913	-307.307	-302.508
266	P108142039	-299.363	-319.624	-312.356
267	P108142039	-296.192	-318.717	-312.266
268	P108190539	-122.341	-117.594	-118.355
269	P108190539	-122.051	-126.075	-124.317
270	P108190539	-120.478	-125.84	-126.177
271	P108190642	-160.594	-158.367	-161.919
272	P108190642	-128.32	-139.132	-134.129
273	P108190642	-163.74	-167.188	-165.415
274	P108190648	-247.367	-253.858	-263.387
275	P108190648	-250.777	-258.04	-265.632
276	P108190648	-248.446	-254.318	-263.242
277	P108190681	-233.687	-239.558	-239.934
278	P108190681	-239.179	-244.348	-245.361
279	P108190681	-242.249	-255.565	-257.208
280	P108221056	-326.156	-352.233	-356.448
281	P108221056	-324.599	-350.178	-355.577
282	P108221056	-325.538	-351.621	-355.876
283	P108231347	-234.797	-251.896	-244.661
284	P108231347	-234.451	-252.944	-246.501
285	P108231347	-216.851	-233.372	-230.988
286	P108243673	-244.13	-253.007	-265.435
